clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
« système innovant facteur d améliorations rentable plutôt qu un vieux système obsolète »,"[4.382774101843443838e-649, 4.706215333870862023e-440, 3.4204017041644034024e-655, 2.3632190481821274693e-520, 1.352791039328411219e-549, 3.822811303804069829e-696, 4.442097884868126988e-586, 3.5941344428642769346e-623, 3.2121989805648232285e-437, 1.0898835588903855261e-419, 6.2528092582930980804e-654, 4.8714395155498147263e-515, 1.074385303068393173e-714, 1.15177904639382776915e-520]",0.0,14
mots jamais assez beaux qualifier invention certes peu coûteuse tellement innovante phrase cidessus a prononcée christian estrosi maire lr nice mars lors l inauguration « stationnement intelligent » système vertueux faisait fierté élus côte d azur,"[1.08751841719223628494e-613, 9.378114345138422828e-784, 2.17937363924970614e-332, 3.650640943250486534e-564, 8.821304724800184447e-575, 2.643151154364848363e-559, 2.6185104381274737125e-530, 2.6633306048774867891e-311, 2.2028256717347412977e-296, 1.6137651825008013132e-488, 1.2531301570513692949e-506, 2.329711208893678445e-331, 4.3447986459483426997e-529, 2.5361721840344025449e-300, 1.530942603689315353e-642, 3.713847443391168869e-330, 1.12714184024813512746e-480, 1.9114678518756025019e-618, 1.0792564201592316067e-393, 9.067281188069966952e-399, 5.841568197740999173e-712, 1.5988570068305311848e-707, 1.31145345027303937874e-530, 5.732415018915787154e-360, 1.7563580792239524514e-548, 3.5718394480409986732e-730, 3.6998842777011895632e-759, 3.704409650579975436e-447, 1.5263668915999054152e-434, 4.1255225876731614958e-527, 2.0327554827115289807e-636, 5.0514958443454740705e-634, 8.079654679033417092e-618, 1.37918996262718802e-594, 1.5518123864198238382e-570, 2.481208621006963757e-586]",6.119664691536521e-298,36
retour vieux horodateurs,"[7.180035481475560255e-296, 6.429822694974845187e-544, 5.079402020487367543e-731]",2.3933451604918533e-296,3
las « stationnement intelligent » ici site ville a coûté millions d eurosa abandonné sans autres explications,"[2.3448063081968028882e-721, 1.6038090408685069211e-593, 9.198106728553951418e-281, 3.8595323435505085002e-670, 3.9893654124023717358e-690, 2.0849401487648447507e-684, 9.5452198528710139144e-621, 4.0972214657690957188e-628, 2.6000751136609592536e-553, 9.705823664723710376e-462, 1.467897932007394249e-448, 1.1894421648075007642e-611, 2.5534164518798745806e-506, 2.1690607634860847336e-684, 2.865612153560105827e-558, 4.0011344809668020893e-631, 4.8997204677382448924e-660]",5.410651016796442e-282,17
horodateurs ad hoc installés d abord secteur puis l ensemble territoire ville fonctionnent plus depuis mai rapporte quotidien nice matin,"[1.0806291943825065187e-429, 2.4538847420821547191e-641, 9.73164968156988348e-576, 8.4113936375247804365e-388, 1.691853593922923796e-595, 1.4307882422355095017e-452, 1.4011428961282558512e-488, 2.8949630670510906487e-445, 9.9299641993992700196e-679, 1.1822648625057028828e-579, 6.369331721472191299e-554, 2.0034388609980663626e-495, 2.7725557289670049343e-628, 1.7269291147819657311e-475, 6.4434754235358609146e-440, 1.3525093491713441555e-580, 5.0076081280276587467e-549, 4.4680821062448071608e-451, 2.2489438476770647621e-667, 3.4460914758596644692e-516]",0.0,20
semiacs société d économie mixte chargée stationnement nice a voté suspension avril,"[3.0007285101509738616e-369, 1.2816715002209861429e-535, 6.7217907630052331214e-584, 2.7550073416522998957e-568, 3.8952733648038065e-487, 8.0192767500936485765e-602, 2.3589783796597450031e-509, 2.2940011593568977567e-558, 4.418391492384662368e-464, 2.0217485880663296843e-541, 8.7444922227801447744e-678, 6.333355532157661977e-483]",0.0,12
vieux horodateurs repris service catimini,"[8.0264258201979643626e-623, 1.6888223392944361121e-336, 1.2580174027658531376e-605, 4.2451750395335475873e-622, 2.470799765964228066e-633]",0.0,5
effet wow,"[2.6858929762700237355e-727, 7.510363608750377771e-509]",0.0,2
système consistait insérer « microcapteurs communicants » wow bordures trottoir afin « connaître temps réel l état stationnement trafic qualité environnementale »,"[2.3785223269136939362e-351, 5.4586635216561516797e-423, 2.0816096807316905754e-248, 1.9139952279531860003e-663, 4.863197210002764824e-450, 2.8951355759987093585e-542, 1.4328939726536470852e-381, 1.6616233900174905513e-471, 1.0267494044360284524e-688, 6.13517929112513103e-543, 6.986566358151538597e-324, 9.823067990960946616e-655, 8.776270336687029135e-648, 2.1490159878730772607e-515, 2.4223185460675837927e-704, 5.327221007289800942e-577, 6.3627368259360458855e-612, 1.3310437984068671385e-638, 8.508546568823045459e-516, 3.883683585892017999e-642, 2.0442535704002254338e-421, 9.183937831954438998e-361]",9.461862185144049e-250,22
ville déployé horodateurs argentés « nouvelle génération » rewow promus « kiosques multiservices » ainsi qu « ensemble d eservices » encore wow pratique simple application mobile permettant automobilistes connaître toujours « temps réel » places disponibles,"[2.5831726408926656005e-464, 2.6164117429589609839e-717, 7.6172110853612652164e-556, 2.2954641680350780707e-645, 3.0145320178019062573e-421, 2.6167396563463139925e-174, 4.1071701596542863356e-554, 5.1095614750607801134e-455, 1.1122101669541400206e-278, 5.8568371857328314995e-522, 7.146813680962105327e-318, 2.9741311052127694196e-515, 1.110518519688600206e-407, 6.0767955013559365683e-451, 4.9272915341375800074e-319, 3.1986519083872099594e-569, 4.28790410657796443e-322, 1.8644996273155131831e-461, 2.2705019640194751044e-560, 3.7157549888238509795e-465, 3.5102957797795124362e-653, 1.688957488731519057e-547, 5.497679472625288057e-763, 1.23662760635897296416e-555, 8.508314147274554318e-387, 1.6881927226102640773e-410, 3.100984923476237448e-417, 6.3326729209813484887e-147, 3.5852716863940605022e-155, 3.1446871561640572837e-551, 3.3752398810093834457e-514, 1.56731338616807373e-555, 5.6733924830278836654e-273, 1.7301272977423827687e-268, 7.847399311406399773e-736, 2.6472220587993280387e-500, 5.3001418920068853708e-536]",1.7115332315767744e-148,37
paiement bien entendu pouvait faire mobile,"[8.221307275579606751e-490, 3.75706781354096684e-615, 4.991542132976496834e-526, 6.0065489381733129634e-259, 5.6709530260753713135e-354, 1.9485043657148004624e-632]",1.0010914896955521e-259,6
distance,[1.5472601347442824027e-485],0.0,1
drôle d idée passage lorsqu on vient garer voiture trouve précisément proximité l horodateur,"[3.5677032153998590258e-359, 8.7138218671081687416e-368, 1.6849576412230346633e-314, 3.9989537490735795896e-149, 9.574778595663230613e-365, 6.0858230349050296865e-319, 3.6120198493041561972e-403, 3.8595762239173988362e-389, 5.6691374202163234447e-381, 1.2047957262804953357e-605, 6.2204842091191227384e-390, 4.8992272662695521686e-526, 9.500799362045449768e-544, 6.718471438452704596e-492]",2.856395535052557e-150,14
smart city,"[7.109900268602419922e-271, 6.6092056969166472314e-536]",3.55495013430121e-271,2
« stationnement intelligent » fer lance « smart city » enchante discours cité enthousiasme colloques consacrés « nouveaux services mobilité » récompensé plusieurs reprises trophées faisait émules exemple lyon auprès candidat ump municipales,"[8.703153093214160613e-314, 3.2720331966777319272e-422, 4.510226755111295051e-481, 1.1183633830840502784e-461, 7.216609700821114594e-333, 5.563260399388360114e-436, 1.1092126953411624766e-391, 2.716856553512577769e-78, 3.4698751780217018342e-450, 2.0681739291063123175e-352, 9.579244577726172968e-513, 9.7887285940404507294e-474, 1.3766773212850678923e-512, 2.2025986673903884557e-399, 2.719766069299354699e-371, 6.6542413954874452426e-223, 1.26675331039646119336e-359, 2.0142150976566827469e-495, 1.7345962154520213288e-380, 4.0961126731932119514e-412, 1.33838732835672671995e-20, 4.460794534021711639e-409, 3.0278182555586605606e-452, 9.8930520770712237625e-432, 7.7037032808544678337e-395, 2.2661743354346867008e-300, 3.3731478042186910706e-425, 2.2054808339661648583e-354, 7.601227361935726708e-557, 7.747595135225420588e-356, 5.2983265402866375628e-525, 3.8198441148702390598e-523, 1.5766607565141428471e-481]",4.055719176838566e-22,33
ville manquait jamais occasion vanter cette merveilleuse technologie tellement pratique l utilisateur cerise gâteau bienfaitrice l environnement,"[4.8095432183740624492e-338, 4.3763245430041078472e-331, 5.046280698944164601e-207, 8.3782608426970304214e-284, 1.14415055089682479845e-594, 9.3132166559260011e-426, 3.4794303440676246517e-498, 3.815141981788590365e-408, 6.073847066355254226e-539, 1.7657497298771830206e-229, 4.594582332236797649e-630, 1.4473712496270203781e-528, 3.603963272990668243e-457, 3.0197260372318249435e-636, 1.7786606615394543813e-558, 2.0791937435258966379e-210, 5.73431068376228678e-410]",2.969623466286877e-208,17
comme rapportait moniteur mars bornes interactives constituaient l « action phare » schéma stationnement ville nice,"[1.3965152688352448325e-548, 2.6899459834287670025e-406, 4.9601539824220331594e-484, 7.286309031737979994e-457, 1.0670783594598189658e-519, 8.1882173468042220535e-294, 1.6406747954229639483e-598, 4.286698933431940592e-538, 2.4436218730823015094e-556, 3.2021977414519719988e-544, 5.2104161938361857226e-612, 3.742858301239250801e-354, 6.6641535157610199396e-452, 1.7979661399824374134e-537, 6.7432479244558867516e-424, 4.037421959523719397e-546]",5.117635841752639e-295,16
« système devrait contribuer réduire difficultés congestion connaît centreville où estimé qu entre conducteurs recherche d une place alors places restent inoccupées » lire,"[1.8061835382664410416e-286, 3.907673808870055113e-439, 1.0542160115727242398e-269, 1.8317876913357323189e-546, 9.900986026818764179e-673, 1.1495518194440236307e-485, 4.6426549014840337737e-577, 4.542977229295965483e-383, 1.4072853608648671347e-534, 6.87888466983003572e-358, 1.4585086703421125292e-368, 3.497390085116672964e-565, 1.8483189650389313629e-569, 8.5459326448026143274e-539, 2.2885376009533712081e-575, 2.0421540379727179611e-414, 1.6026219561402924585e-429, 1.8794889364922381609e-423, 4.2383925650297667503e-450, 1.0352598746013077956e-537, 3.4848851844800130036e-602, 1.0511201059592805199e-611, 1.5046346574745413478e-369, 2.7159752701928290376e-572]",4.392566714886351e-271,24
l usage toujours l usage,"[1.2505428358012257972e-465, 5.319700569079249209e-560, 1.8828718232520784865e-694, 9.1456994094415659944e-701, 6.381489875586439232e-669]",0.0,5
« technologie futur » fait toujours bon ménage l usage l on fait tous jours,"[1.2191733635169284365e-591, 4.1084019565077688404e-483, 2.2630206431287580381e-377, 3.4000701962824484811e-305, 5.6505418691059383576e-567, 4.1876653698715951654e-392, 1.6382254095164367135e-465, 2.8609732482175913844e-250, 8.310550764076202161e-483, 5.749644723023686157e-483, 1.4150381695955483919e-379, 5.63841880096826175e-500, 6.21516753739276695e-683, 9.6132683645929528714e-523, 5.682984529681783681e-248]",3.8077295081093065e-249,15
semiacs ville restent très discrètes raisons officielles cet abandon,"[2.8466223681606338969e-406, 2.74957581600834882e-516, 2.4561412874265171848e-465, 1.5130070913896500973e-311, 4.121058459960955793e-446, 1.1155298907202552177e-428, 4.744349952508209325e-481, 5.160950412822725325e-478, 8.745178860200329639e-446]",1.68111899043e-312,9
fait problèmes techniques apparus,"[6.549882315276685829e-551, 2.2215674611679767793e-553, 1.8580112304392201525e-337, 1.7302096643317738218e-146]",4.325524160829435e-147,4
système fonctionnait toujours,"[7.438584775777293003e-375, 7.824074954803391685e-343, 1.5562642419505635766e-481]",0.0,3
comme rappelle lecteur « doky » failles informatiques apparues mises évidence l émission envoyé spécial,"[6.9821332262733692734e-376, 8.994180627357475669e-508, 4.054477454441959213e-334, 5.763871310549854594e-420, 1.5557674275082568701e-172, 2.4089829382065798702e-345, 8.776778658351172555e-560, 9.99388801827453013e-360, 4.3294796203676906328e-451, 6.676618004312157416e-303, 1.5034383393167956332e-326, 4.5425298776533097083e-442, 6.01945752375564943e-383, 4.0438839424628132506e-685, 2.5035311832513294928e-386]",1.0371782850055046e-173,15
chambre régionale comptes outre dénoncé marché règles commande publique,"[1.5555537286886343377e-557, 2.0773540096579414799e-342, 5.708351416994827705e-407, 5.2848573808357824842e-465, 4.659809451455565923e-564, 1.6110286245707283697e-475, 9.667445228110387403e-473, 5.9056006936412123223e-335, 3.0064824971375286215e-451]",0.0,9
concepteurs « stationnement intelligent » aussi oublié détail quand volant qu on cherche place n a nécessairement loisir consulter smartphone,"[1.0, 6.5423038020664531946e-352, 6.6130238316611824977e-635, 6.2886520404047753236e-574, 8.360176579548697262e-444, 1.8507276707211051408e-648, 8.139716107032106225e-415, 2.1008612222222884413e-278, 3.8748822694102902672e-283, 1.6982026895963036423e-392, 1.6521950874864712709e-418, 6.7746731284946555995e-469, 8.74085639614115566e-559, 1.0622614602487243904e-656, 3.0897683738412836779e-527, 9.1146916618082273715e-507, 6.9050936546073177854e-405, 4.119014442077381932e-431, 1.3054134708784458618e-406, 1.4155858372193214072e-493]",0.05,20
double file,"[9.860064835063904612e-368, 1.4009419265086400914e-490]",0.0,2
enfin surtout sacrosaint principe auquel déroge jamais quand conduit voiture veut garer plus près possible destination,"[4.9646935595245936398e-446, 6.693353494226151096e-602, 1.3169058222113770509e-407, 1.2808233292967217749e-201, 3.0331249055291386097e-492, 6.01036384677280785e-458, 8.1227689777402402836e-609, 6.818252868930108261e-554, 7.25901610492576037e-549, 8.318432316210413149e-418, 2.434649010767477937e-625, 1.7456777675246894805e-335, 1.1903693120275739263e-332, 3.8652474737179595813e-470, 8.335960058250333459e-479, 8.9016032955370769937e-541]",8.005145808104511e-203,16
s il faut sauf si verbalisation menace,"[5.2720614830775562435e-270, 6.984883451931444273e-454, 3.937747228805457439e-652, 1.3532971848044794094e-263, 1.6219574528079811222e-231, 3.8993449555983505824e-529, 1.826580714930212204e-443]",2.317082075439973e-232,7
or nice cette pratique tolérée voire encouragée ville police municipale depuis lustres,"[3.2418810644716006429e-712, 3.9650537237932399696e-498, 9.118819912994983589e-615, 1.1432263612693943582e-520, 3.4331409377539704616e-445, 3.5820941235127184282e-582, 1.9448076291198139369e-598, 7.59237669867683641e-552, 1.04052520790317367717e-429, 6.2155095172846764278e-385, 2.2951099191002948578e-497, 9.1032053169704452075e-435]",0.0,12
l automobiliste n a aucunement besoin cas recourir « kiosque multiservices »,"[2.9082639955337956382e-541, 2.1595126071192485223e-429, 2.0916320266382894714e-328, 1.38052831293355195535e-319, 1.8886621489030210452e-408, 7.60129246956440637e-572, 1.2787268703485210863e-521, 4.2867443221189071397e-589, 7.4035417017521932826e-567, 1.6947036200774112416e-556, 1.4256292698136773259e-224, 8.9844996053053428786e-330]",1.1880243915113978e-225,12
stationnement c est toujours peu bête,"[3.9169128699715391064e-379, 4.4319133697501428604e-582, 1.6078834080348025713e-735, 6.822152591505523321e-306, 8.6861290574044668546e-651, 2.3933707084772364055e-545]",1.1370254319175873e-306,6
sujet nice précisément stationner sans risquer pv octobre comprendre pourquoi stationnement smartphone fonctionne mal c est ici,"[3.8062417117058461783e-647, 1.0474235571538571291e-556, 2.7487516870427923526e-523, 1.2183733253040222376e-709, 1.0787411952728257737e-569, 8.985774576960871399e-583, 1.5214664515205433625e-642, 3.4251383240223546026e-631, 1.7609976539435308977e-464, 1.0171911554550712582e-524, 5.182583874966161633e-531, 1.5803568182297265662e-558, 1.9433890346560546278e-453, 1.0483442230975876917e-590, 1.2948334908052374507e-605, 2.9961418537022160916e-505, 6.460048624581790055e-622]",0.0,17
ps,[5.8573517011643824906e-682],0.0,1
nombreux commentateurs signalent qu ils comprennent pourquoi ville semiacs fait cesser système,"[5.6460097144405279543e-652, 7.5569151556804691676e-553, 5.890318373490512303e-357, 8.64801692731786162e-445, 6.481189863188785093e-706, 2.8216712936528182553e-683, 5.458698418461156992e-704, 3.570552832086365482e-344, 4.970520146102619574e-562, 4.6677624230050294227e-539, 1.0330000128499923405e-596, 5.9745168253665784158e-795]",0.0,12
pouvoirs publics n en disent rien euxmêmes,"[4.381142765723498622e-660, 8.978542424289259588e-473, 1.0653917757649515342e-352, 1.3392409136448055904e-627, 9.1008309584776667015e-648, 1.1989354842624890206e-445, 5.517158753504463428e-580]",0.0,7
raison simple comprendre toute innovation si parfaite plan technique loin d être cas l occurrence utilisée public si celuici n a d autre solution disposition,"[1.623226379389658509e-532, 9.5929203268598014077e-532, 1.145148051580705099e-592, 1.8029670661986455387e-657, 9.606858104772659858e-489, 7.4349008376154148303e-469, 2.3568949727155730912e-300, 7.6182357877986038805e-637, 2.0747344176373055723e-594, 1.5867533776614991562e-670, 2.814929255365446725e-349, 1.8642483277594866434e-431, 1.6713193738779847387e-514, 1.3809165349426220819e-657, 3.4975489064615553988e-514, 5.77685201898508683e-542, 2.2713074111282404428e-572, 4.1918576055737924977e-416, 1.3580896072834949503e-581, 2.2272559496403440617e-614, 3.655440041753728411e-648, 9.73684603096332076e-671, 2.3291460860996162722e-449, 1.4623089889631640751e-596, 1.6441812420891004163e-592]",9.427579890862292e-302,25
