clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
mitho makosi khu we meyo merry christmas and happy new year joyeux noël bonne année chaîne télévision aptn multilinguisme affaire entendue non seulement célébrer lannée nouvelle toute programmation,"[1.8615770289070629678e-44, 5.4304817006584344536e-44, 6.437487788429212122e-42, 1.7940663347467474838e-40, 5.0467881774153695663e-44, 2.8736750416382456627e-41, 2.656338938372257048e-42, 5.922011826128336086e-39, 1.162966964040771227e-39, 1.1994270869168235072e-37, 1.2804275414766265773e-38, 4.991137905818489667e-36, 2.8325975581257960221e-39, 3.7656942933846458694e-38, 3.6746643469781959066e-42, 5.316631617353167774e-40, 1.7866261467203776198e-43, 7.622886800523447582e-44, 1.9995385517954741495e-29, 2.4673318317741009643e-41, 6.4795373007084726685e-42, 6.4744040728611557104e-43, 1.7792426073972274272e-40, 6.4521191209412284223e-41, 2.5059628047431456674e-16, 9.572934949685347079e-42, 2.7654317000014064873e-42, 2.3427963936415046461e-39]",8.949867159797663e-18,28
réseau télévision peuples autochtones aboriginal peoples television network a terminé fêtant dixième anniversaire fort dune expérience unique monde celle donner parole image quelque communautés amérindiennes canada sans compter celles métis inuits grand nord langues modes vie extrêmement variés,"[1.08054976732130361544e-41, 1.7866261467203776198e-43, 9.206469381912210416e-27, 2.436916246258523457e-25, 4.8904286506491599067e-40, 3.7064658241354287634e-39, 1.4162576715584749696e-37, 7.903051754544087144e-40, 5.1233949403687896132e-42, 1.9260373677714892777e-43, 1.1875663061532969205e-42, 5.822759304834807726e-39, 2.588229919218542978e-38, 1.4732494022510117107e-39, 1.5409802869369870932e-32, 1.2267897093444569978e-38, 1.9981147205663549607e-42, 2.3419820707848395634e-40, 1.720675125708442154e-38, 8.672075814970230747e-42, 2.878119444456769335e-42, 2.0744923945092452438e-39, 3.1247084262839938188e-42, 9.7246595718502134426e-30, 5.4006506568765377497e-21, 4.8770641088840582312e-39, 1.01214438172043370395e-42, 3.6871560560970720216e-42, 4.1905376070989840873e-41, 1.4225503262018816783e-32, 1.9855657194429135329e-35, 6.9633689616324909083e-43, 5.420567368407989509e-40, 2.545486176770991415e-22, 3.5269837901287380992e-35, 2.241038231631294448e-41, 6.265734318089199768e-33, 3.8033323328732313376e-39]",1.488276890107437e-22,38
lune principales originalités réseau diffuser émissions vingtaine langues autochtones cri passant mohawk déné bien sûr langlais français deux langues officielles canada permettent tous autochtones pays comprendre entre,"[3.1806759927831615677e-38, 5.5460803731467966935e-43, 6.4307078831127273408e-40, 1.08054976732130361544e-41, 3.059858653877425934e-42, 7.097912032340835475e-32, 8.6719266729117598444e-43, 2.545486176770991415e-22, 2.436916246258523457e-25, 6.731777222469702126e-36, 1.19840210796383817455e-43, 7.1707819112042348073e-41, 2.0681977393718509248e-44, 1.0209928576993276237e-38, 1.07489388988171978196e-39, 9.0811802091277889376e-38, 1.717959614807023323e-42, 4.8447963519226412096e-44, 2.545486176770991415e-22, 2.7019919178872328995e-37, 4.8770641088840582312e-39, 5.826108363877028417e-41, 2.1105313171314873233e-43, 2.436916246258523457e-25, 7.758038885944311577e-40, 8.45113600195993895e-40, 2.8510006821768025349e-40]",1.887350439534949e-23,27
car projet explique directeur général jean larose luimême abénakis québec a ambition faire connaître parcours peuples célébrer cultures inspirer enfants honorer sagesse aînés autrement dit dêtre reflet fidèle positif peuples autochtones canada million personnes parlant langues,"[8.393245663970013316e-39, 1.2550853305972977948e-39, 1.3060939364922973326e-38, 1.6244108394847331711e-42, 2.714501356262106209e-40, 9.657568923581970606e-44, 1.0331117414593503403e-38, 5.728902790480949492e-42, 2.7858006227797545735e-41, 5.5152861635746115986e-39, 5.1233949403687896132e-42, 1.5914576348550532194e-39, 1.5898177100088513811e-41, 3.2336152099897784567e-42, 3.2111096716532938823e-41, 9.206469381912210416e-27, 6.4521191209412284223e-41, 0.043867390730998587913, 1.6342919764822830501e-40, 2.6267357261823229734e-44, 1.3213276968836567474e-41, 2.9829018180885019205e-41, 1.5883833549678720906e-40, 2.7776351474090906112e-41, 3.6342459661863689676e-39, 1.3173590123517834717e-32, 7.2203163512667434e-42, 9.89106000617650001e-42, 9.698325750695319762e-40, 9.206469381912210416e-27, 2.436916246258523457e-25, 4.8770641088840582312e-39, 1.1527397172243067223e-41, 2.3414559936485687374e-42, 1.5478855558065770543e-39, 2.545486176770991415e-22]",0.0012185386314166274,36
quoi mieux cet égard quun réseau télévisuel lier communautés disséminées immense pays comme canada dit ceux lont bâti,"[2.4852648230907209453e-36, 2.4603510285004364858e-39, 3.6456304855796274685e-36, 4.7955443588708076407e-39, 2.2035591403505941149e-31, 1.08054976732130361544e-41, 2.566357046039398977e-40, 8.345132627766665763e-42, 9.7246595718502134426e-30, 2.1851242050789847312e-39, 1.941738232844712797e-36, 7.758038885944311577e-40, 2.4806386021322539234e-42, 4.8770641088840582312e-39, 3.6342459661863689676e-39, 5.2851394346305700627e-41, 4.4459452906039825224e-29, 1.0123104841253736183e-40]",3.0224709157621733e-30,18
tâche na facile,"[1.2473089658238788288e-41, 4.4972934782430065422e-27, 4.3037132261368764065e-36]",1.4990978275155774e-27,3
si siège social a aujourdhui pignon rue plein centreville winnipeg capitale manitoba abritant plus forte concentration canada ancêtre grand nord tvnc television northern canada bord faillite quand nouveau projet pancanadien a émergé,"[5.884974738582301707e-40, 5.563188384415736748e-41, 3.250143386476488978e-42, 5.1233949403687896132e-42, 1.3560674026011790041e-27, 7.701006258060092332e-40, 1.487868738166498174e-41, 1.128048257025877453e-36, 8.41776640550411012e-41, 3.407341099634620277e-41, 2.1381148070204852632e-42, 8.950634843883080905e-40, 6.6075235515564482493e-43, 1.3042548341325373119e-39, 3.2806040779204369268e-39, 6.327723324517795633e-35, 4.8770641088840582312e-39, 9.606764771636733279e-41, 6.9633689616324909083e-43, 5.420567368407989509e-40, 3.299512512010871202e-44, 1.4162576715584749696e-37, 9.625693194767612381e-41, 4.8770641088840582312e-39, 5.1109066191433744362e-43, 2.718746078438613075e-43, 3.8920390495876444228e-38, 2.7019965531475694168e-43, 1.2550853305972977948e-39, 4.551970498857860467e-43, 5.1233949403687896132e-42, 5.8341845375092107734e-40]",4.237710835019936e-29,32
soutenu lassemblée premières nations instance politique autochtones aptn a obtenu licence radiodiffusion sous pluie critiques certains opposants milieu télévision qualifier mauvaise expérience transformation sociale voire taxe culpabilité imposée canadiens,"[5.320212138998621997e-42, 6.3745720163299262987e-42, 2.8351606094095400263e-43, 4.3230353858705926255e-30, 4.9924321334624359333e-40, 3.4271502890837428516e-43, 2.436916246258523457e-25, 7.622886800523447582e-44, 5.1233949403687896132e-42, 1.2536574719795098073e-42, 2.275762920265624754e-41, 3.5708278555273406055e-34, 1.2691630172332646632e-42, 4.2007977414206833836e-35, 6.3689064356825261554e-38, 5.6378529838886613165e-40, 3.1213815897513293e-42, 4.3876874075238266917e-42, 1.7866261467203776198e-43, 2.181170326751802046e-41, 9.614482041985966847e-41, 1.2267897093444569978e-38, 1.2517735379821115068e-40, 8.5042615817688079035e-42, 1.64611429707454719905e-40, 4.486149165547687993e-30, 1.9238344536853661846e-43, 5.571566362267358675e-43, 2.380541111972658278e-41]",8.403463248605933e-27,29
conseil radiodiffusion télécommunications canadiennes crtc a tenu bon accordant place choix service base chaînes imposées câblodistributeurs titre quun canal météo chaîne travaux parlementaires,"[2.581334056012419893e-37, 3.5708278555273406055e-34, 4.9629363376375859892e-39, 4.6274726023550084503e-36, 4.2090479025951166282e-40, 5.1233949403687896132e-42, 5.152262289916835171e-41, 1.0071178820840469724e-39, 1.0612504970588703653e-40, 4.130486266573954416e-42, 1.7231997926533326062e-41, 1.3181994290708878331e-40, 2.5994713312013657814e-41, 3.6258679588966673562e-41, 6.0281735373660635953e-41, 1.8050047291783131181e-44, 1.0328183761889645244e-32, 2.2035591403505941149e-31, 4.9791851635496044366e-40, 1.450675772904775593e-39, 5.316631617353167774e-40, 1.0630550971693539753e-39, 5.511542114091381933e-41]",1.0045481592017539e-32,23
a clé service offert dix millions foyers canadiens redevance atteint aujourdhui dollar canadien euro mois abonné,"[5.1233949403687896132e-42, 6.130030232174492912e-40, 1.3181994290708878331e-40, 2.3247387131999476799e-38, 3.4375119948431267942e-43, 1.5697808164708489818e-40, 8.974172999172151075e-43, 2.380541111972658278e-41, 1.0783939341588527333e-30, 9.1402660872461561925e-42, 1.3560674026011790041e-27, 4.9918951097227254263e-34, 5.7480926474870450615e-42, 2.5970221950511182671e-38, 1.7259134899637902272e-41, 5.8408628288944344547e-37]",8.48216435224448e-29,16
