clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
« honteux comme renard qu une poule » merci cette troisième déculottée bleus trois matches afrique sud après puis faire revisiter fontaine,"[3.8531276938302581927e-234, 3.0564831950529249947e-308, 1.3245712323674996162e-215, 4.0711160162118899584e-396, 3.9783265592099837655e-411, 3.0881703349048530635e-427, 7.061876478875470131e-400, 3.8553645662721188796e-387, 1.6051193031718980579e-336, 3.1599896164814086355e-506, 7.87817611378551147e-467, 1.1146688592508644149e-425, 7.288340645881799778e-554, 2.658610111593973863e-410, 2.5752252158374547756e-432, 7.945566152021474517e-392, 4.8370502435587335084e-375, 3.1825956364685000483e-361, 1.0039313562326380559e-421, 1.5464176126992596184e-385, 2.1203067195124202077e-455, 2.3393008582774492057e-388]",6.02077832894318e-217,22
bonjour dégâts car johannesbourg cette fois bleus n ont pu marquer seul essai alors qu ils inscrits deux chacune deux précédentes confrontations d un match l autre mêmes insuffisances mêmes erreurs reproduisent comme clones,"[8.6196843270141657906e-361, 6.742147570618051802e-346, 9.476804604892116078e-395, 1.0479531497929922606e-459, 6.393243886783310979e-391, 6.535620811491483145e-407, 1.3699740111692725141e-351, 1.7244388189761743508e-436, 8.3373989678264418033e-342, 9.3895437671450838546e-393, 2.6928388428432322436e-232, 1.3572806130187043191e-500, 1.1236047640097092772e-432, 6.315082305263803622e-461, 2.8297523530423772605e-483, 9.625819304595461003e-364, 5.294106529098659406e-389, 6.0151830859151105534e-439, 3.208381132997449401e-392, 4.579365459748389077e-447, 2.8293149637642963401e-426, 3.3463166440616590719e-425, 4.2017144448086957253e-435, 1.5510292213284657516e-487, 1.66608330602005908e-480, 3.018139799837943929e-348, 2.1136289417682654467e-399, 2.1376958349231576092e-377, 3.1556178277822970483e-473, 2.4408914471735828099e-352, 2.659884536605050653e-455, 1.12839290102769914675e-459, 4.9630321471927330672e-449, 4.827705903520315761e-485]",7.920114243656566e-234,34
dès boks accélèrent ça va beaucoup trop vite quinze france,"[5.2998985310092963422e-443, 6.9547692338587262336e-411, 9.767946708429616771e-470, 8.998063965539654598e-496, 1.6461106203941498472e-254, 2.1957827770925331956e-449, 1.330227867194865225e-442, 6.609087015583340357e-324, 7.661097062175225463e-357, 5.627020845512357044e-192]",5.627020845512357e-193,10
dès bleus relâchent ballon font hélas trop c est punition éclair assurée sudafricains l entraîneur allister coetzee,"[2.1793089205177256787e-435, 1.799009813061660275e-409, 6.7588902673301942856e-414, 2.6507118217904993057e-424, 3.6213489219558175785e-380, 1.7270389113338503678e-273, 5.8014090255556896253e-363, 4.5270975164925422424e-404, 7.712511378754171183e-500, 3.9084676910326764798e-436, 1.6376521115900146692e-478, 9.040635569579345624e-438, 1.5586139581564753267e-505, 3.3545135885246042432e-473, 2.7060470036343246025e-321, 3.1157632805766331535e-524, 1.9777189870690002829e-415]",1.0159052419610884e-274,17
dès boks sans ballon qualité défense allée crescendo trois mettent vraiment pression jeu tricolores guy novès détricote illico tel pullover dont tire brin laine dépasse passes maçon non tendues donc ultra lentes imprécises soutien retard mauvais choix sous l effet panique recul perte donc gauche springboks porteurs d un projet jeu dynamique clair bien place équipe profilée entraînée techniquement collectivement physiquement préparée mettre jeu,"[4.3656192459739293834e-422, 7.7981375726604018846e-421, 2.4941882965967340746e-437, 4.5318885869781985737e-415, 3.4869101815024160954e-360, 2.1357373964003483956e-484, 7.5842975024013180945e-414, 3.8140024128188172243e-464, 7.1926705360470197834e-420, 1.6416524849754855136e-449, 8.855264565675372303e-455, 6.537058388976601482e-519, 1.2024011959898286819e-432, 1.4823388933026341612e-399, 1.21226618548435593276e-390, 4.2364773298565535325e-461, 3.6112136607920621553e-438, 4.7011903075411582478e-483, 4.3033736082853049563e-415, 1.7663166328848401721e-454, 1.1914030778096515222e-491, 8.4734359306943505896e-504, 9.601592590924723025e-533, 2.350103891315232995e-447, 7.6499704165633241066e-404, 3.6376452199438898615e-499, 2.2892015676435160555e-446, 4.4019526196541447686e-436, 1.9958654349072202582e-430, 5.9941944496206830887e-390, 2.4628338891697560967e-441, 2.848755962759796067e-396, 1.1172142993048721963e-466, 2.1435175290614778362e-538, 1.19077644022214406705e-486, 1.777274652625371232e-390, 6.2230713912508726897e-478, 4.4354076781170935077e-468, 5.932641357971447357e-480, 6.617702469642187678e-409, 5.7582250205235329614e-400, 1.9342277483121956891e-352, 4.6445294609473960647e-349, 5.9874510730955907726e-369, 1.2881707704692891179e-469, 2.9159292899333580915e-385, 7.449063260027206106e-358, 2.3516403439425624287e-410, 7.568458346520144058e-446, 3.6646963979899880742e-338, 2.0700034425283479041e-467, 2.479371821793828478e-401, 6.8839163708801322916e-408, 6.4097423118453085195e-444, 3.7772475649663823653e-493, 7.0053630948656042e-420, 1.6434183055121972653e-477, 5.4252085204935375435e-359, 7.5675099102628752358e-379, 4.5995028467164756838e-366, 1.5978094132393361589e-351, 5.0971318093440826828e-495, 8.6090704413836017775e-455, 1.1901177680991620335e-316]",1.85956e-318,64
a adéquation entre rugby pratiqué joueurs sélectionnés mettre musique,"[1.1130258273780038066e-367, 2.7215350820066883924e-506, 6.729226004411505464e-277, 2.2807787792930159343e-400, 6.494898589226146914e-212, 9.391129518125632469e-347, 6.5004718751755731086e-443, 2.7857519976563361884e-416, 8.264492242380401687e-363]",7.216553988029052e-213,9
mal d entre proviennent lions johannesbourg,"[7.468841166545688277e-408, 9.6721105648029853615e-372, 1.1549982055691703805e-342, 7.623198980762796582e-353, 1.5438508405146686915e-310, 8.870332835033424468e-369]",2.573084734191e-311,6
ah oui saison super rugby entre clubs d afrique sud nouvellezélande d australie japon d argentine bat plein,"[8.882133577967239006e-289, 2.3043583515598239822e-297, 4.4478456734339863863e-374, 3.9920297530241462215e-454, 8.099172450523766014e-369, 7.542192168303180194e-302, 2.9563989205362746204e-350, 7.657812786602413754e-305, 1.4261234737915480252e-466, 2.6730911356678019606e-387, 1.3046607533863606286e-440, 1.8045121398048388055e-462, 9.64868748484856939e-218, 8.94826119803436034e-345, 1.1006856732814921846e-422, 1.4217107254094920962e-342, 3.2645278811566045966e-385, 6.338140431492881386e-249]",5.360381936026983e-219,18
trouvons droite quinze france jetant éclairs sporadiques dire décousus,"[1.3960750743705934681e-244, 3.162472096257924039e-315, 1.1650897909184896403e-310, 6.1341392163899100906e-390, 4.068064225645513015e-403, 3.8074668066486763737e-287, 4.3904539187772436443e-408, 2.1513672715531644896e-391, 4.6744050617104433566e-385]",1.551194527078437e-245,9
parvient assembler briques jeu jamais construire mur jusqu au bout,"[2.1335483155316019066e-294, 1.3838223044738902843e-247, 2.1448421200550150598e-382, 1.7418051125062734537e-406, 1.2151307728822092783e-285, 5.911860682507601758e-350, 4.8121383426272468607e-244, 2.1041925449863076777e-286, 5.0236080175090701498e-331, 2.0797483030368935717e-376]",4.813522164931721e-245,10
