clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
français brunel certes soutenu l échange premier match très attendu l,"[7.234803929617003459e-182, 6.1339013240896086714e-367, 9.0801452840280550814e-91, 6.671107948885460049e-284, 1.2770259917319937421e-238, 2.4061047453333519593e-396, 1.4377357737091475037e-175, 1.01473116141247449483e-345, 1.8936317634882184666e-361, 5.0556745983146705043e-390, 1.3554287132983338213e-213]",8.254677530934595e-92,11
clair bleus défendu becs ongles encaissé moindre essai,"[5.1184257117904060483e-230, 3.901202381450659268e-356, 8.095758749249666237e-448, 8.7543135282055671366e-181, 1.2359723806300292723e-236, 6.859294668575475798e-182, 4.5257170279880626945e-529, 2.9027836220664248579e-220]",1.1800303743828894e-181,8
n ont pu qu endiguer non réellement répliquer ni développer jeu,"[1.8709224691695296058e-229, 1.6682865363975808962e-470, 9.04428507115746646e-384, 5.3231025336857040767e-213, 6.679550786259421089e-345, 1.566600343768103823e-115, 3.6215800970901564147e-470, 2.020108788661848014e-210, 1.5072914464294338204e-238, 7.7565814474763015914e-271, 1.0838742095900260912e-430]",1.424182130698276e-116,11
drop assommoir sexton certes méchant coup destin,"[1.50943909126648893555e-285, 3.5280797629868354648e-338, 6.715076683680741583e-326, 1.1574983779222033877e-359, 4.2898474544112790765e-199, 6.1763663344251310175e-98, 3.6729947810223617814e-226]",8.823380477750187e-99,7
cet ultime avatar reste avant tout assis l immense confiance diables verts accumulée maîtrise rugby l emprise pression qu ils maintenues français inévitablement poussés faute,"[6.40521860932863534e-352, 8.454009033149738303e-136, 1.4180466649397716756e-301, 1.913856534804077664e-252, 1.7935478489794567274e-243, 5.7182715369416446127e-285, 1.3142907613347550011e-206, 1.0177726642482653912e-319, 5.084679737420347485e-369, 7.829196576453303e-172, 2.5663024703202041197e-146, 4.985522785670020548e-156, 1.4494894706288462343e-338, 2.4537716750918638682e-238, 1.595795458149669155e-276, 5.3464908021651222806e-170, 1.1478968043115601185e-338, 2.0673537403792968337e-277, 9.157908278397547279e-112, 6.3143664330724006305e-381, 4.2898727615939752708e-378, 1.3140787387311730817e-185, 2.0161445963254616793e-229, 1.1432130070249751534e-156, 4.4705018523681468345e-370]",3.6631633113590187e-113,25
irlandais jouent,"[7.2933897925371448365e-239, 1.135900880758386247e-114]",5.679504403791931e-115,2
contre vents marées,"[3.870278662725357282e-211, 1.5929873490759431491e-245, 3.3166836509374520437e-289]",1.2900928875751192e-211,3
jouent gagner,"[4.674669063889409678e-237, 3.341748349653057666e-313]",2.3373345319447048e-237,2
rugby buffles léché millimètre auquel français honorablement fait face pose quand deux trois questions l avenir jeu,"[2.2303827631299329603e-356, 4.1591915892557273425e-180, 3.184663052869801101e-184, 2.4721510658457287218e-113, 2.6487551993488348386e-271, 9.163189230853090535e-112, 2.1659750274087403052e-245, 1.9030634834316645337e-455, 4.2048967480205815295e-306, 5.794882616032590093e-246, 1.0878442361600355401e-375, 2.8270147258417284386e-267, 2.992921502938013089e-293, 8.6804035466225260446e-310, 9.8592605253279946535e-378, 1.2847907825772441363e-324, 1.3564350448253101332e-397]",5.535531963198625e-113,17
avant tout répétitif joue échine bien courbée vers sol,"[2.493260131777379096e-392, 5.687086794227960491e-268, 2.1273763659456391519e-277, 3.6066202630343253055e-370, 4.3441489006117175274e-341, 3.1823243351858461368e-347, 1.3152768633921632786e-176, 2.710503872142766369e-454, 5.4964611078988881893e-106]",6.107179008776542e-107,9
faut vraiment aimer formation tas successifs l apprécier,"[1.4070159673918196947e-299, 6.631271261230656208e-383, 1.9390451269450308986e-365, 3.2272636741788527938e-293, 7.2763034285854412895e-415, 2.1665687804073346134e-246, 3.0499299857856697592e-399, 3.3988027068350522015e-262]",2.7082109755091687e-247,8
jusqu à quel point rugby aussi formaté techniquement aussi canalisé peutil emporter l adhésion spectateurs techniciens tous plus brillants uns autres haute main rugby dit moderne ontils conscience fabriquer peu peu formes tellement élaborées tellement coûteuses hommes blessés qu elles risquent plus devenir qu un concept spécialistes très avertis gazelles trop peu parole balle mains,"[3.7102205240690373473e-317, 1.12620451628634546044e-271, 2.691271781053839175e-393, 2.9708541318459608957e-330, 3.134535916863708282e-310, 7.603187848490685576e-267, 1.2140168574782440952e-396, 2.3077752144489090668e-289, 5.334993610247611801e-249, 1.23654112407361327e-362, 1.8370490002106942013e-309, 6.480147926724863415e-346, 1.322408996942692462e-265, 2.2208449420345334937e-478, 8.262008751480249301e-403, 8.623222558265727456e-307, 1.3049045884950956948e-336, 1.0, 6.334902282697238157e-260, 1.5869100236064422252e-281, 3.286076842918084343e-295, 4.1371909567109367708e-331, 1.1993306184042819821e-500, 1.6552200898281722196e-300, 3.3839759676639122789e-332, 2.863847018550974046e-324, 1.6406836064011585515e-345, 4.7220896306078287654e-285, 6.030033330771331257e-235, 1.1941519953196062044e-357, 1.1475920166558877926e-482, 3.299674562049760712e-294, 1.2273529402957049251e-443, 4.605793139221634943e-333, 2.0112028274109259462e-312, 1.7310292532425391278e-314, 3.3103653736325347e-263, 3.4070379383354656105e-339, 4.363162937866899674e-425, 3.9265707487786947032e-175, 3.096570336181867799e-203, 2.9404197262301463402e-199, 2.019959092101204836e-386, 4.4746309234825585476e-364, 4.6864804029895706448e-237, 1.7026957036249227014e-316, 3.7185516017013636387e-317, 2.3053462167900940661e-266, 7.4110348388577275364e-110, 2.6200172705009814294e-304, 1.243229254806330323e-332, 1.1399745325960440244e-126, 3.783340279710949559e-228, 1.5282441541619072053e-271, 6.428490286209425344e-410]",0.01818181818181818,55
sous prétexte quinze france doit rassurer reprendre confiance doitil devenir simple manuel défense abdiquer toute ambition offensive md,"[1.8528908887955697324e-194, 9.6851650466887193555e-228, 8.4012610437708350013e-113, 1.3487515401611621639e-382, 4.271245647450534226e-301, 3.507470793977936385e-187, 4.70883199012415694e-336, 8.738598136533580528e-554, 6.7526643728532635355e-258, 4.718172304783446657e-305, 1.8858684271330508315e-366, 1.2617892653830144318e-401, 1.3150271485715181358e-233, 3.5813835378368016844e-351, 1.7629365450490601065e-262, 2.8083322857642076892e-250, 2.1318798481693153784e-165, 1.8656685142621044182e-334]",4.667367246539353e-114,18
