document_sentence
"Un attentat a fait au moins 93 morts et plusieurs dizaines de blessés, vendredi 1er""Cinq personnes sont décédées pendant la nuit à l'hôpital (...), ce qui porte le bilan à 93 morts"" janvier, au Pakistan selon un nouveau bilan fourni samedi par la police."
Un kamikaze a fait exploser une bombe au milieu d'un terrain de volley-ball.
", a déclaré le chef de la police locale qui précise que le kamikaze a précipité une voiture chargée d'explosifs sur le terrain autour duquel les villageois étaient rassemblés pour regarder le match."
"L'explosion a provoqué l'effondrement d'une maison située à proximité, d'où ont été extraites plusieurs victimes, femmes et enfants."
"L'attentat a eu lieu à Shah Hasan Khan, un village du district de Bannu, voisin des zones tribales frontalières de l'Afghanistan où l'armée pakistanaise combat actuellement les talibans alliés à Al-Qaida."
"En cette fin d'année, le pays est victime d'un regain de violence."
"Lundi, un attentat-suicide à Karachi, revendiqué par les talibans, avait fait quarante-trois morts."
"Une réunion d'un comité local anti-talibans se tenait dans la mosquée située juste à côté du terrain de volley-ball lors de l'attentat, a indiqué Mushtaq Marwat, un membre de ce ""comité de paix"", à la chaîne de télévision locale Geo."
"""Soudain, il y a eu une énorme explosion."
"Nous sommes sortis et avons vu des morts et des blessés partout"", a-t-il raconté, en estimant que le bilan devrait s'alourdir."
"""COMBATTRE LA MENACE TERRORISTE JUSQU'À SON ÉLIMINATION TOTALE"" Le premier ministre, Youssouf Raza Gilani, a condamné l'attentat en affirmant, dans un communiqué, que ""de tels actes terroristes ne peuvent affaiblir la résolution du gouvernement à combattre la menace terroriste jusqu'à son élimination totale""."
Le nord-ouest du Pakistan est la cible privilégiée de la vague d'attentats islamistes qui secoue le Pakistan et a fait plus de deux mille huit cents morts depuis près de deux ans et demi.
"Cette sanglante série s'est accélérée depuis octobre, lorsque l'armée a lancé une offensive terrestre contre les talibans dans le Waziristan du Sud, fief du Mouvement des talibans pakistanais (TTP), allié à Al-Qaida."
"Le TTP et ses alliés, qui dénoncent l'alignement du Pakistan sur la ""guerre contre le terrorisme"" menée par les Etats-Unis dans la région, sont considérés comme les principaux auteurs des attentats perpétrés depuis deux ans et demi."
"Le TTP a également revendiqué un attentat contre une procession chiite, qui a fait quarante-trois morts, lundi dernier à Karachi, dans le sud du Pakistan, qui semble démontrer que sa capacité de nuisance s'étend bien au delà du Nord-Ouest.."
