document_sentence
"La Lituanie a fermé jeudi 31 décembre 2009 le second réacteur de son unique centrale nucléaire d'Ignalina, au nord-est de Vilnius, non loin de la frontière avec la Biélorussie."
"Le pays balte, qui était jusque-là l'un des plus dépendants au monde du nucléaire, respecte ainsi la condition que Bruxelles lui avait imposée pour pouvoir adhérer à l'Union européenne (UE) en 2004."
"En dépit des nombreuses mises à jour de sécurité effectuées depuis la restauration de l'indépendance en 1991, cette centrale RMBK avait le tort d'être du même type que celle de Tchernobyl, c'est-à-dire sans enceinte de confinement."
"La fermeture de la centrale fut l'une des conditions préalables à l'adhésion à l'UE, et les Lituaniens s'étaient résignés à ce que certains avaient alors de qualifié de ""diktat""."
"Conformément au calendrier, le premier réacteur avait été fermé fin 2004."
"Depuis, de nombreux Lituaniens s'étaient battus pour tenter de prolonger la durée de vie de la centrale."
"En 2008, un référendum avait même été organisé dans ce sens."
"Faute de participation suffisante, il n'avait pas été validé, mais une écrasante majorité s'était exprimée en faveur d'un prolongement de l'exploitation."
"Finalement, l'Etat a choisi de tenir ses engagements internationaux."
"EVITER LA DÉPENDANCE Après avoir été exportatrice d'électricité, la Lituanie, durement frappée par la crise économique, se retrouve importatrice."
"Le gouvernement a annoncé qu'en conséquence le prix de l'électricité devrait augmenter de 30 %, ce qui pourrait contribuer à accroître l'inflation de 0,8 % en 2010."
"Les besoins lituaniens en électricité devraient s'élever, cette année, à 9,1 milliards de kilowattheures (kWh)."
Ce sont donc environ 4 milliards de kWh qui devront être importés.
"Pour cette ancienne république soviétique, l'inquiétude, hier comme aujourd'hui, est bien sûr d'éviter autant que possible la dépendance au gaz russe."
"Lietuvos Energija, l'opérateur du réseau lituanien, a annoncé que pourvoir le pays en électricité ne serait pas un problème, car la compagnie était déjà rodée à ce type de demande lorsque la centrale devait être fermée pour maintenance ou défaillance."
"A court terme, plusieurs solutions sont mises en oeuvre, qu'il s'agisse de solutions domestiques ou extérieures."
"""Un accord a été signé avec l'Estonie."
"Un accord général a été conclu avec la Biélorussie, et nous (discutons) avec l'Ukraine"", a déclaré Arvydas Sekmokas, le ministre lituanien de l'énergie."
Ce sont notamment les questions de transit par la Biélorussie qui doivent être réglées.
Vilnius a admis que la question des importations ukrainiennes via la Biélorussie n'était pas réglée.
"Andrius Kubilius, le premier ministre lituanien, a déclaré que la Russie pourrait interférer dans ces importations."
"""Mais la Lituanie ne se retrouvera en aucun cas sans électricité"", a-t-il affirmé."
"A plus long terme, les Lituaniens misent sur différentes alternatives."
L'une d'entre elles est un câble électrique sous-marin qui les alimenterait en partie depuis la Suède.
"Dans un avenir plus lointain, le pays prévoit de remplacer la centrale soviétique par une nouvelle centrale nucléaire."
"Celle-ci sera partagée avec l'Estonie, la Lettonie et la Pologne."
L'appel d'offres a été formellement lancé le 8 décembre 2009.
"Les discussions ont pris du retard, et son ouverture, originellement souhaitée pour 2015, ne devrait pas se faire avant 2018, au plus tôt."
"Olivier Truc (Stockholm, correspondance) et Olivier Truc."
