clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
maison enfant voiture,"[1.2020834574959196004e-172, 1.6392727481758908787e-130, 1.0730158375539544919e-199]",5.464242493919636e-131,3
parfois ballon arbre d autres trouve choses panneaux,"[8.196274854497387745e-60, 1.7289383994041755627e-181, 3.904715438128288921e-152, 4.6950206750784540748e-226, 1.782707489983400812e-185, 1.0165260246800653695e-189, 2.9476060294180940137e-219, 1.5447323324407747123e-199]",1.0245343568121734e-60,8
europe chaque pays a inventé propre manière représenter « zone rencontre »,"[1.839491917115872186e-169, 7.842735332777860102e-242, 1.0760780903102234423e-216, 2.1994837860019696296e-279, 7.4317680138521835563e-280, 3.2445628691641219447e-184, 2.0195916685786036907e-259, 8.772250508735860417e-224, 2.468911493120041413e-205, 2.8137496430666998217e-139, 3.5503789663225016833e-247, 1.1044101948791637838e-59]",9.203418290659698e-61,12
zone quoi curieuse rencontrer quoi comment piétons prioritaires,"[2.9652220862007766862e-251, 1.6316936096976204685e-87, 1.9430825648280481955e-102, 2.3058839486617948284e-135, 5.6157049932105614476e-163, 3.2316946318357403254e-151, 4.5364488091802091301e-110, 6.2501191317425171816e-126]",2.039617012122028e-88,8
explication jargon administratif « zone rencontre » ensemble rues parfois place où piétons prioritaires tous autres usagers,"[5.859499594200149729e-162, 3.6178426311766069356e-285, 1.142194835159141282e-124, 8.065050336123016093e-238, 3.1086090367017046036e-187, 3.3982267521959763648e-201, 1.0969370610326565695e-238, 8.096413287493600229e-232, 3.2868263238551359178e-149, 3.3064814644172344371e-271, 2.593984674823452789e-195, 2.2914230447828317695e-186, 1.10142585498441551754e-122, 1.7714618217830749638e-245, 1.4184613829656857791e-218, 5.5650308432734699923e-215, 3.4121357586666148387e-213]",6.546163549035335e-124,17
vitesse maximale l on camion bus voiture vélo limitée kmh,"[4.4958880705489165302e-179, 2.474801190162867011e-229, 3.5098722912866036503e-287, 5.645937862641142333e-258, 1.3376135492966331126e-217, 5.1238936093140377065e-219, 8.4789631125885940375e-167, 3.708763224223643901e-188, 6.7547405727117503945e-228, 9.138060826799957911e-128]",9.138060826799957e-129,10
a pied peut flâner souhait compris milieu rue,"[8.981018495870203524e-209, 1.4323360230862301609e-123, 3.1507151811332774112e-165, 1.6844649512775442473e-210, 8.430521550452203359e-237, 1.0403156448899649644e-173, 8.867468543117352648e-269, 8.559299004263162899e-228]",1.7904200288577876e-124,8
automobilistes motards cyclistes interdits bienvenus condition respecter autres usagers intégrité physique aussi leurs oreilles leurs poumons,"[3.2809459026221701407e-212, 2.513954334904983745e-203, 1.4581173478330476531e-251, 1.4811167954273637496e-200, 1.9968364481744237951e-311, 1.2477364450887847475e-203, 5.3534768146421492196e-185, 4.523379970906566597e-163, 1.1454840714823847469e-199, 4.333551205672132235e-158, 6.647751646417571572e-181, 2.4959960490201596833e-194, 1.3691050976931956055e-203, 4.28483154168294033e-227, 1.3411452426659979132e-192, 4.573520258944529754e-131]",2.858450161840331e-132,16
tuyau contre espace,"[2.96705682943983649e-285, 3.3913509166489624797e-168, 4.4233099555049595294e-144]",1.4744366518349864e-144,3
cet aménagement fait aujourd hui plus débat,"[3.359226873720945071e-208, 1.1998394221056722823e-70, 7.556185700606784098e-95, 3.8057089845732300957e-224, 5.73809122013917815e-107, 1.171539684101482738e-258, 2.431635196641087439e-210]",1.7140563172938176e-71,7
cela n a toujours cas,"[3.2313170004914476295e-57, 1.6470341499211645979e-199, 1.4367538972610169154e-240, 2.218072355818925091e-134, 9.255098343932508939e-235]",6.462634000982895e-58,5
