clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
springboks d afrique sud quinze france,"[9.243051155832781808e-146, 4.3340348247315365046e-178, 5.6363910712990561635e-142, 2.5238536388386283837e-157, 1.4074291349245708055e-198, 1.8596597293478356185e-156]",9.395525627357768e-143,6
langue bois fédérale ça s appelle déculottée,"[8.1881796644524562986e-113, 8.416631908745694167e-166, 1.3125095490257010758e-170, 1.4977769779699124382e-117, 5.379827222613535867e-53, 3.4199949083357490077e-104, 1.3320176979479551829e-161]",7.685467460876479e-54,7
fautil s étonner tricolores répandent vrac pelouse loftus versfeld pretoria début juin premier match d une série trois afrique sud chaudières top plus énergivore dernières années poussées fond fin course bouclier brennus éreintante,"[8.955461444178776331e-195, 8.829656677076874854e-58, 3.1853998429457863808e-126, 4.627806901187112303e-140, 1.7313091245354621695e-160, 1.6856046904273670045e-87, 6.345043633463453785e-165, 2.2397362864050899817e-94, 4.7329858431227918323e-145, 1.15861529807979512675e-83, 1.1072540374759105166e-137, 4.5634015763006127103e-112, 1.1464127393687974266e-139, 2.0730353179034989134e-76, 1.1358637824960409863e-159, 1.5305108063860284151e-109, 6.449073277024724481e-182, 5.6787849159861903962e-133, 7.225532854814511343e-111, 7.2135972237024392e-198, 8.495645882077468038e-164, 1.4860328930687426129e-111, 1.3385187276495773363e-147, 8.4391027898603171785e-154, 4.0401008924251084415e-142, 3.8252481178914155072e-96, 4.680935683958437836e-157, 4.3619784383654261816e-162, 5.87438932764619137e-134, 1.9332354915727664162e-184, 4.818861227797286822e-90, 1.555882248039086403e-159, 2.7406246529527885261e-160]",2.675653538508144e-59,33
elles peine temps commencer refroidir qu il faut relancer machine france,"[1.0569087617655997866e-127, 3.568869001559711969e-97, 3.4967550204249654296e-69, 2.3144006207082585934e-87, 4.109110685646811187e-99, 1.4821315001961968541e-67, 3.0441544501988616584e-116, 1.607585295187415696e-93, 3.3053746121166179217e-109, 1.2289458702098101942e-69, 1.7076941196740888075e-167]",1.3903531900932224e-68,11
bonne petite dizaine d éclopés tous postes horsjeu l infirmerie,"[2.4047289169818073704e-160, 5.213068182748921708e-108, 1.6569829492214521864e-52, 7.9051890033365023537e-61, 5.061050351270056615e-41, 1.5021912899942775431e-95, 1.0548242924891229257e-10, 1.2054576191767000983e-89, 1.5495811696923095655e-23, 2.0318839466342941197e-167]",1.054824292489278e-11,10
ajoutons pincée d organismes fatigués saturés ménager provisoirement,"[1.2335431641282915633e-142, 5.744893609187197322e-153, 6.4718557875267740903e-111, 9.9955507079867076324e-132, 1.4708694298303530626e-137, 4.688830361670295439e-90, 3.0351549683100095414e-12, 9.681909200482634117e-135]",3.793943710387512e-13,8
lions tout escouade démobilisés contraire jouent plus tout depuis plusieurs semaines toulouse maestri camara doussain northampton picamoles,"[1.200253498114617936e-69, 3.4604450044779477593e-84, 7.7953162696224628055e-48, 2.3858839011555387654e-189, 1.196283913533727425e-139, 1.9767788663217161688e-113, 5.7104486226572985642e-95, 5.0952050907550215476e-123, 6.899930234094203486e-100, 7.202870285215936361e-144, 2.4787866721591983905e-98, 1.1274424432155052056e-141, 4.4841074987844294383e-82, 1.6448654169010636527e-169, 1.1418382714986093692e-115, 5.9166750730865431177e-87, 2.1460271228262463722e-43]",1.2624147505817309e-44,17
staff bleus hérite là rubik s cube d enfer,"[2.6537069252106976028e-113, 4.351540219091138458e-80, 3.8416299327978453562e-59, 4.1479548881088818864e-78, 6.3020515361289888023e-20, 1.06694906103961284444e-45, 1.3017086430283785528e-55, 4.222847531420409088e-56, 6.7321091775277359754e-104]",7.002279484587766e-21,9
rugbyrama relève d ailleurs qu en matches tournées d été depuis débuts top bleus perdus,"[2.564347689209264031e-131, 1.4462924920842568047e-42, 1.154326732598925767e-52, 7.299243243282187441e-190, 3.2746970819557472783e-87, 2.9011312615969049217e-57, 5.237385055015866603e-121, 3.9684930544542965766e-176, 2.6064420767786749263e-142, 4.059732414497231309e-146, 1.0334210847822647838e-105, 7.2930454341358261167e-180, 1.6931767053976777452e-176, 1.4989340041555038424e-163, 2.2671227019191568983e-145]",9.641949947997948e-44,15
comment fédé peutelle laisser encore piéger aussi grossièrement calendrier fin saison aussi aventureux désinvolte santé vivier performance sélections comment ligue tient clubs main si généreuse hauts salaires joueurs venus d ailleurs peutelle continuer épuiser imperturbablement capital joueurs quinze tricolore championnat duraille matches phases finales sans compter coupes d faut chercher trop loin tout premier forgeron débandade prétoria c est l écosystème ovale français professionnel,"[5.6270470655558578176e-165, 1.0038324992717688136e-183, 4.940767039909666509e-149, 3.3094560851102573527e-117, 4.962462375290466538e-192, 1.1149147053102488146e-152, 4.6558973742667310175e-161, 1.2516704054227725502e-111, 5.1134716792745273572e-173, 1.3163562237806569251e-173, 1.829803578662563391e-159, 2.5060150588752463607e-124, 7.760371287691369131e-138, 6.71727448912685098e-93, 5.6662278501468735923e-195, 2.3818058486721508488e-143, 6.6805725190787723e-107, 2.3994199731729623978e-151, 1.0622587326791812699e-156, 1.37586773656155837435e-191, 3.504168817169529975e-212, 7.533689900929422609e-109, 9.587481446611042818e-149, 2.9408178776866108914e-147, 1.3534354133729057298e-76, 4.9391979714554271053e-91, 1.27567470200145931116e-141, 1.9411763737086253402e-135, 2.1444533553436026832e-123, 2.6567860879707463165e-151, 4.098630335890452359e-187, 7.6281320569080682183e-125, 5.2642405382318864944e-110, 1.712557652707141287e-104, 1.5738319785205683976e-171, 8.419987845634599278e-147, 3.5124144239051652094e-93, 3.2796543764547075116e-116, 1.2776817410405300521e-83, 2.6389762167511526015e-76, 1.3606246114720615727e-73, 1.3646889230622442492e-117, 2.3105318578481823571e-110, 3.5617298736750734748e-154, 5.9458528145246322434e-86, 7.8429633531158436655e-82, 5.5977451990385465395e-129, 5.972517962046396261e-101, 3.5324392782548305727e-119, 7.80956324036518671e-114, 3.031084550054359832e-77, 2.7585685322413639404e-62, 3.1114259771865415987e-139, 1.6042888598637529344e-89, 1.5637705191367283e-172, 3.4335053548963733817e-73, 2.1630963839552554216e-147, 5.7158013392448654972e-168, 1.1962366996541436809e-116, 1.4305131536416522905e-79, 1.6725902429417515802e-114, 1.13105234298191692775e-92, 1.2426276673900727972e-140, 4.3167092635331167214e-91]",4.310263331702106e-64,64
système toujours partant faire hola quand droits télé canal mettent grimper ciel,"[5.1329268225754180766e-190, 0.5905178965081720887, 7.2978666840037293526e-116, 3.9419014106327972602e-101, 2.1728572222108751068e-110, 1.72303956926940146e-145, 1.6645226836111122505e-15, 6.8535321893617265815e-07, 4.0846528689086177068e-84, 1.6217607366391497742e-66, 1.2556262084332086511e-72, 4.5202527956060970716e-71]",0.04920988182178272,12
beaucoup plus introverti dès qu il s agit s attaquer question centrale calendrier charge travail démentiels imposés internationaux français,"[4.1380008576276996573e-103, 2.4945980584034166975e-81, 1.4624242394674838423e-115, 1.0816928620694969202e-50, 4.413791988159918677e-79, 3.3649059859994923491e-100, 5.389032478301549131e-82, 5.182873665673751368e-40, 1.7608032653622226229e-87, 2.7013266022662326442e-88, 1.930293165233025655e-153, 5.501834229723258826e-129, 1.2842196108937643739e-76, 2.8431580487109006683e-77, 1.0093340277079703308e-155, 7.0035032226002714235e-50, 2.6569627903344879964e-139, 6.673725863349990339e-83, 4.951727093362284427e-135]",2.7278282455169846e-41,19
déconfiture prétoria choquante,"[1.3383759762960529702e-157, 5.1756068026416872337e-114, 1.0465954439249456828e-157]",1.725202267547229e-114,3
parce joueurs failli individuellement beaucoup d entre picamoles entre autres collectivement défense transparente purement conjoncturel,"[6.1293908802445662783e-114, 8.561514577473534663e-97, 2.0142921759733666306e-147, 1.4419671593954573293e-75, 1.0552861466841577525e-105, 3.4902781011637762316e-115, 4.750845178438203884e-101, 6.239148873101935731e-109, 1.9399584628570619435e-136, 1.1483295605789579332e-88, 8.515899390314066928e-80, 1.6166864884025536093e-58, 2.6743451120000051547e-124, 1.8285316750343185529e-62, 2.9177329423284619853e-106]",1.0779128943800381e-59,15
