clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
cher richard m adresse aujourd hui car après avoir fait l éloge post précédent franck azema homologue clermontois travers celle tout club semble légitime saluer venez réussir rct alors profile finale feu dimanche stade france entre clermont toulon,"[6.8919882776583223473e-171, 5.4413401000981286273e-176, 5.459934230736692558e-181, 3.3701426583693404496e-172, 7.0318836498252794594e-182, 2.812774998441709581e-187, 2.4560488110011583218e-148, 1.672096605559494443e-191, 6.1080101697827694547e-172, 7.1693994987994008166e-165, 1.4366194972941591883e-171, 1.4615600267003511229e-181, 3.6037548355211757305e-206, 2.5830776605769735102e-125, 1.0681991623956678527e-165, 9.0848922327460848706e-158, 9.8324457356187104855e-141, 3.089282936042846625e-156, 5.1044244966827387995e-132, 1.38082034776910584e-116, 1.1156497952550063743e-168, 6.462767692144851049e-111, 6.8631570062690895945e-58, 1.8527767476138425135e-147, 2.541894249572724879e-72, 5.6548874827138631615e-183, 1.3912489249558432226e-157, 3.4053576795449629361e-102, 1.4404054655034519111e-161, 4.6382765162058515435e-109, 1.6428399589518532792e-154, 1.0, 4.506403861040659125e-90, 1.6228528444203168608e-174, 4.2990192932839406495e-56, 3.0493905186939469117e-167, 1.0736358259169813006e-53, 1.3051928086515072425e-96]",0.02631578947368421,38
savez richard j ai suivi carrière intérêt car personnage singulier monde rugby,"[1.4767261908411847635e-153, 3.2704819776747722885e-160, 5.1020458822721070605e-169, 1.8254545655420029199e-187, 1.5905889694124968779e-158, 2.611574728210745323e-171, 2.0736504520805740395e-185, 2.2401914068455026324e-210, 2.2754869709398798494e-186, 9.808660614672846603e-182, 8.311196495240835166e-187, 1.00362092599901667525e-169]",1.2306186864825644e-154,12
garde d ailleurs mémoire moment assez savoureux lorsque talonneur quinze d angleterre brisé protocole aller défier all blacks moment haka allant coller front celui visàvis,"[5.9480244235219078764e-199, 1.8118401969341025484e-162, 1.7027987007340994112e-156, 2.6839578816222330596e-179, 5.6166786952942069096e-184, 7.429086908424040924e-148, 6.4376065644154139613e-132, 3.0372791734030967532e-186, 7.750732918013363237e-187, 1.3094200376850696706e-182, 2.1130074374805747841e-207, 7.6080326914420167573e-185, 2.720312699007481284e-169, 2.527346058618978956e-195, 1.1178121384718207372e-182, 8.938661813326021394e-199, 6.069946365572487997e-203, 1.7070779868483059417e-190, 9.7331750769080740555e-170, 1.5142908234269389357e-158, 2.912675768475823378e-215, 1.887597464807943109e-206, 4.3565978790192900207e-169, 1.917042810529915072e-156, 7.463943964023937037e-200]",2.575042625766166e-133,25
shocking cela faisait surtout quand joueur anglais,"[5.7122460963034947933e-203, 5.299693975866557971e-170, 1.7759300392117750948e-164, 8.4787938732742769645e-191, 1.3480287326871604654e-189, 7.6155172120745377383e-206, 2.49820038885276289e-197]",2.537050484151073e-165,7
c était old trafford c était sans doute l une toutes premières sélections c était a ans l équipe d angleterre phase transition censée exploser face nouvellezélande jonah lomu,"[9.4985168169098476945e-199, 2.0403326205202888396e-145, 1.7147537041524524045e-201, 6.5831135411624634777e-187, 1.1726604807586063426e-193, 2.51256911829905321e-175, 1.0142075649635073257e-179, 2.2948892419657608366e-174, 1.3095681152045643859e-150, 6.7278838195814989704e-144, 2.3441958890290244922e-156, 2.0214097678950285066e-202, 1.1285526624703951125e-162, 1.271798869193706058e-188, 1.1553509538374449229e-187, 2.7943834264483076285e-142, 1.9930304966530299612e-139, 3.3345352821666733107e-156, 3.3402985413961743267e-130, 5.3743085311714788534e-126, 2.0067480855068250755e-172, 2.0502899160796961898e-116, 6.7918263719139089985e-115, 6.9888312640369561257e-140, 3.453191771812779457e-48, 3.4884352326115166643e-150, 1.0393817702566437363e-160, 4.7145994381312878654e-119, 5.1353658992398032316e-141]",1.1907557833837171e-49,29
n en rien quinze rose résista perdit façon honorable terme d une rencontre laquelle prouvé toute valeur,"[1.3847302036305243809e-162, 2.6628374438546688097e-191, 4.5330518039523948703e-121, 1.2296242404328858838e-143, 1.3814865290626070355e-136, 5.599445621098313109e-182, 1.7164379235803529953e-122, 6.679354920549191436e-111, 2.5173492089796571652e-138, 6.0472585892153062045e-150, 1.9061436994509420073e-128, 8.530974839110566483e-69, 4.9142288019759486744e-123, 1.8987726705168902197e-87, 2.4231397734870351701e-164, 3.5769367138089110472e-128, 2.1679386397985206428e-91]",5.018220493594451e-70,17
rugby international découvrait genre pile électrique combat talonneur monté su ressort grande gueule vrai mariole sacré joueur,"[3.1565730770338005867e-91, 2.238417537564397025e-158, 3.31795999205571805e-89, 3.039981777464153006e-65, 4.493016548260536206e-166, 1.8795281892909306871e-97, 3.515596489294476113e-152, 3.0960710915823870552e-155, 6.5197333425995976816e-63, 6.6250187123887186414e-96, 2.0634080226545858099e-128, 2.2134461725544089817e-97, 3.8742991753220859877e-107, 6.227554777374349666e-105, 4.0333099505269891792e-124, 8.1827985185837761245e-138, 1.6113605014339007708e-69]",3.8530204539616124e-64,17
sélections fois champion d angleterre deux fois champion d europe leicester,"[3.158358245450031076e-132, 2.2675049489160243731e-161, 8.856362362339020568e-105, 1.2862187637396498711e-108, 3.1297868530824797014e-92, 1.470958613311823058e-105, 1.8697364875286689197e-112, 1.3482463732367999279e-121, 4.6467354742448724004e-144, 4.1569214971186622828e-119, 1.1749542116121342252e-103]",2.8452607755411474e-93,11
personnage part rugby britannique cassait codes fois très énervant terriblement efficace,"[3.1852022308475047202e-178, 3.0779861363766994833e-139, 2.9484942584064535145e-154, 6.3055153589731851174e-82, 8.336063069844203301e-93, 5.4580531603282578848e-157, 7.873761774880760518e-188, 1.2488053613447244069e-131, 4.2449983727938201406e-141, 4.59979198452654842e-191, 1.142792553025907783e-211]",5.732286690051405e-83,11
côté latin correspondait forcément l idée qu on peut faire d un joueur rugby anglais trouve aujourd hui prolongement presque évident rc toulon,"[6.2518745841354349523e-155, 1.5968596037945209286e-189, 1.7161155205732954974e-166, 1.2831735205739977183e-169, 6.985901506549503618e-197, 5.150309387599688654e-116, 2.2307257465818279497e-95, 2.7322859225648232866e-143, 7.957059964592950741e-183, 7.82051870347059401e-101, 1.1693742492677088948e-111, 2.1169040848408527771e-131, 5.7558161272472605414e-72, 5.9794758151500103416e-83, 2.5686112198609323968e-148, 2.3340815640187935465e-156, 4.7751817555908099826e-110, 1.25071119662807708055e-182, 1.477887679547687085e-178, 2.182465188082388626e-121, 1.0220051862289241583e-154, 9.442578191839976355e-155, 1.1551670029323415596e-130]",2.5025287510030674e-73,23
l aventure varoise n aura duré quelques mois puisque l on sait qu elle prolongera audelà finale dimanche prochain franchement dommage chemin croise jour route club toulonnais tellement semblez être fait l un l autre,"[2.8450922231368707268e-171, 2.19884460452558081e-190, 4.9392812858753973743e-175, 3.418542046209883636e-180, 1.8341036176618413967e-196, 2.1458963003965977544e-203, 1.17949924975845055685e-197, 4.0881564257763306713e-188, 2.727729391941182063e-214, 4.1441942863400778527e-200, 1.1367208866427564244e-187, 1.1124261529038260119e-196, 1.605991113438964431e-193, 1.02894974021743821767e-193, 5.338399877518084891e-189, 1.0519870379350899014e-189, 3.4896742824116100006e-191, 6.245039551926600315e-160, 6.9737140733228406146e-202, 1.2207004913425950606e-190, 7.1591943458430646233e-199, 1.0656178368422406179e-194, 6.1594812471234204076e-209, 3.357422546449348841e-200, 6.3475541985522807595e-167, 3.8572813753854641367e-189, 8.2901377707672527e-192, 1.4513885916455029078e-177, 2.4849200344642924216e-147, 8.952102813481406817e-190, 9.310814309720516366e-179, 8.311071452523936534e-171, 3.186350754907061038e-138, 8.419404110101120783e-153, 9.853986569841693618e-150]",9.10385930686241e-140,35
fondu moule « ercété » étonnante facilité gourmandise non dissimulée car cette culture l affrontement qu entretient toulon depuis toujours colle aussi peau,"[6.8711084648065880794e-158, 2.4456837876229956287e-150, 3.8395685162154999766e-76, 1.2677383383480759923e-108, 2.6336935288924408499e-179, 8.2029800507686567414e-102, 3.2980511620381520082e-156, 5.9259725996070174154e-83, 5.4108286071605028264e-65, 1.2339100065227265241e-154, 5.4802420836484209565e-155, 5.781375700498773275e-145, 5.876296030509501976e-159, 4.0647449679306733463e-146, 2.7499830075834050456e-128, 2.617319410081989558e-176, 4.443722361756234826e-190, 3.6213480900571766321e-184, 8.791209515508583194e-194, 5.4618434533675086855e-178, 7.5315617994273951616e-148, 8.591853610187634021e-180, 3.7925841292353036287e-157]",2.3525341770429994e-66,23
toulon a rapidement reconnu grand avant club varois sait désormais qu il doit avoir su très rapidement recentrer adn combat,"[2.7203997096892000288e-152, 6.134551822738027848e-199, 1.0003495140909614995e-155, 1.4302507887039491589e-165, 2.3274764554684657203e-166, 3.338842778176451471e-155, 1.2075685808165200047e-171, 7.726796223287378043e-159, 3.5319042790757951183e-166, 1.998353067702830713e-211, 8.788207217543557772e-169, 2.3687344183652823485e-131, 7.7557005069119148816e-149, 3.4479645406548035076e-187, 8.633430052655845864e-206, 2.7127525232034577379e-167, 9.344609317186069803e-160, 1.1561839185521542324e-149, 5.8173192651353427454e-221, 5.6540889233599029484e-111]",2.8270444616799515e-112,20
mieux aller parler oreilles moins qu il reste remarquables avants vermeulen guirado smith mobiliser toulon l essentiel,"[2.0049190230003908107e-108, 8.6512777960714727744e-125, 3.5614116193479678394e-181, 3.3475658333644430794e-101, 2.4846288679818986886e-91, 4.654443339013819303e-117, 2.9071311858862268671e-136, 1.24970829397864369463e-147, 1.4128872772226962102e-137, 5.822643924051477277e-129, 1.1282563258716505954e-106, 6.2403255172058815365e-173, 3.7550141749438333477e-102, 5.3440185701230729343e-98, 1.2528798011657327918e-147, 2.328892710739579005e-146, 1.1811068500805557289e-102]",1.4615467075105145e-92,17
richard donc beaucoup semble cette fin saison trombe rc toulon doute instant déjà bien réfléchi stratégie contrer clermont dimanche stade france,"[4.2392703496936057848e-107, 5.619783748041224122e-161, 1.1333716710209305747e-148, 9.3401952817198045306e-113, 1.0441833407252561628e-126, 1.7169298696388417544e-141, 7.0310305914308934415e-166, 1.3095956941827637759e-155, 3.1726329014317925462e-140, 1.5830760942817946873e-132, 1.7551013209955537628e-190, 1.6095601674864201184e-172, 7.476178589813275832e-129, 1.9297782575682657134e-98, 1.2555453245875793299e-136, 5.0073593912404688742e-141, 2.816722061572310489e-133, 3.6142076030601389302e-131, 5.08349511120724104e-162, 1.9396772271434149399e-146, 3.3034777449710167409e-159]",9.189420294321645e-100,21
tâche s annonce très difficile voir impossible tellement auvergnats impressionné samedi dernier vélodrome tellement rugby repose solides fondations construites beaucoup d ambition depuis plusieurs saisons,"[3.9756794657291811418e-155, 8.4746694070994339e-141, 7.7609397567577695396e-114, 1.9779641019247310466e-135, 3.8545567255484634216e-135, 5.390592747754077981e-159, 1.1466700866908186682e-93, 4.155995671742507891e-147, 4.4651989357448016404e-143, 1.181641049339969103e-187, 5.4252801738753126493e-151, 1.9390315161136565503e-146, 4.4478993797344418791e-125, 2.720570839967446054e-149, 2.8373175191492946117e-209, 7.3690371121223240175e-186, 5.8374716110343688095e-148, 6.641045560408577737e-153, 4.3596545718348911024e-137, 7.0094492252202284976e-96, 2.3005483676351540466e-142, 4.0472345826117426184e-68, 6.002361046809728867e-74, 2.2080721224562253171e-155, 1.4779248664074123696e-174]",1.6188962339891157e-69,25
j en fais clairement favoris j en fais vainqueurs annoncés méritent l ensemble oeuvre tout qu ils apportent rugby français c est pourquoi j ai salué force travail effectué homologue auvergnat,"[3.9336682154149019067e-120, 2.6932649707160717765e-158, 1.7583234564585353066e-107, 1.1184077549999577983e-135, 2.6754159601967594375e-194, 4.9862649213994028988e-170, 5.729703131467187444e-184, 3.8892317115901462393e-138, 2.0524279388364291328e-157, 5.8264426218733990454e-118, 1.3654543433155706276e-193, 3.8119472094499385566e-175, 5.5623180432512534878e-117, 2.4032733862881045592e-188, 2.012695128048076964e-196, 2.6690026146398194613e-197, 2.5114052497462859514e-170, 4.820136447638191957e-114, 7.4502382706008705293e-160, 1.2623906932016110489e-198, 2.2520176944713311774e-146, 4.1213608122752461567e-155, 1.5826366295707029269e-174, 1.0100892332132664034e-177, 1.4609532044601688747e-185, 4.505869088196108915e-174, 5.028829568301625202e-174, 3.7837003197267671294e-152, 1.8132754508580841757e-166, 5.5542461531944271973e-140, 1.7144238799642973354e-155]",5.672012706732483e-109,31
entre franck azéma c est d ailleurs deux trajectoires opposées,"[2.4808834580771261833e-176, 2.1188410299188819263e-187, 3.6825319060378839182e-172, 2.3848862603313088502e-169, 4.9647686726409853563e-197, 5.3644978007625028477e-183, 2.1150668247564752896e-193, 3.3072068989098309509e-203, 6.84599369600521481e-218, 5.0202670135231579135e-196]",2.3885690403257462e-170,10
quand l un travaille depuis façonner clermont dont jeu projet club font désormais référence l autre troisième entraîneur toulon l espace mois doit bâtir l urgence quelques semaines aventure suffisamment crédible envoyer club finale tenter déjouer tous pronostics,"[8.318101548213256737e-161, 1.2983438366614896142e-189, 8.921512422176571867e-201, 2.0733648314282440756e-213, 1.0745439144472911513e-196, 2.678313423642580185e-199, 3.7597677658615678677e-174, 1.1333604211874064214e-190, 3.1635570059916332282e-183, 9.315800379342974012e-192, 1.1633944787618656262e-191, 3.0621746646199822556e-150, 1.1113472282628066964e-192, 1.530377157379673245e-86, 6.6506868555086962963e-28, 5.7657135491446938632e-154, 1.4026819544774942123e-111, 3.7892233007571813612e-153, 4.5920439580120183585e-64, 9.248262968186721098e-96, 5.0490802370395606675e-167, 6.4899335428679765566e-174, 1.3982672173363478825e-169, 5.1623820396259019268e-189, 5.100663605348243725e-169, 4.9327856058168431747e-157, 2.1242966871380814242e-174, 5.066759385361965279e-196, 7.647422180482796732e-198, 3.8193005048520266573e-167, 2.2480880432938213483e-185, 1.0777233413699833549e-164, 7.840344823699385272e-189, 1.8527227110414338067e-142, 4.956771448661232295e-168, 4.4464602703640410202e-183, 2.0561094934699131621e-177, 1.2246901206793375975e-183]",1.750180751449657e-29,38
quand refait scénario gestion chaotique président boudjellal a imposé toulon cette saison c est déjà performance hors norme part richard cela méritez grand respect,"[1.2370366658185544986e-188, 3.339442582430979136e-178, 3.986056853009631633e-179, 4.3948560979634050752e-186, 3.0590162089717712507e-168, 7.180614510433122162e-195, 3.3002713512795577925e-202, 5.3708572011365699494e-157, 1.09155146347654649856e-209, 6.6440851368552343217e-164, 2.838177300830338378e-177, 4.575043514555143892e-189, 3.3420178156503390343e-154, 5.3624053169697061204e-126, 4.0774772720640860842e-149, 1.12547465250391531386e-138, 6.577707796876854366e-141, 6.514734051885818376e-148, 1.5983879127413498458e-194, 1.5963557663381265288e-171, 1.1979103278094439165e-180, 1.5804931349570691271e-151, 2.3658900132724920308e-128, 8.726919941220639534e-182]",2.244193423793151e-127,24
l histoire cette saison veut donc clermont champion france,"[1.9530815258923491436e-117, 1.3308441191588820527e-139, 1.7891068515456932874e-127, 2.2161916939965419416e-199, 3.8137206532215883576e-79, 3.0375277223596253312e-121, 1.0078802018109004967e-174, 1.08170138985001960524e-154, 1.9226976646506931881e-163]",4.237467392468431e-80,9
toulon reste toulon sacré personnage,"[7.311354052178203109e-165, 6.0746056560924278927e-155, 3.5103029873725511363e-147, 3.863722924097396676e-200, 3.303016228245758035e-174]",7.020606096237216e-148,5
doute instant saurez trouver mots bonne formule alors étoiles semblent s aligner belle façon cette semaine puisque malgré l absence buteur annonce retour quatre titulaires nonu habana quand clermont privé van der merwe fofana encore,"[1.6639242184624264125e-159, 7.5725852799723359226e-191, 2.5540777214500241495e-189, 1.0302636813106392515e-155, 4.214072977708515258e-174, 2.9321331032649996567e-176, 2.1031630304073310494e-185, 2.3669111718266913705e-208, 3.604834396685992403e-206, 8.967407481457889882e-214, 4.1106557406896367525e-192, 5.31955781785487893e-175, 1.1400558162499552016e-209, 2.160962976796709477e-179, 4.226613748271127904e-212, 2.2923225827994487646e-134, 3.245487103634802364e-200, 1.5587274152599229588e-197, 1.418422201751032306e-175, 6.698705535793162537e-162, 3.739455119677033702e-157, 5.2686216750256997735e-168, 1.16509622109142956547e-184, 1.9813729672208918636e-181, 2.508230404810059431e-175, 4.5015376582391042452e-173, 2.6329052097345477367e-135, 7.2394499408292085866e-209, 1.0800669379171358186e-142, 1.17508136071994389915e-145, 2.4497731310768221351e-200, 5.2151273711667144523e-198, 1.2315877007838501444e-172, 6.223462249245816868e-174, 1.6039119132943721763e-172]",7.301751755958068e-136,35
alors toulon champion totalement illogique finale top n a faire logique l histoire championnat france l a si souvent démontré,"[1.1083841590953142414e-153, 4.245866586646935381e-195, 9.953578341135609484e-178, 2.3589092156943499997e-143, 6.634946042673530045e-187, 4.960584089195158342e-176, 5.560815934798995023e-153, 2.7049871417687881568e-179, 1.4908596428345912056e-198, 6.826140950799060133e-209, 1.9784214420767399801e-197, 6.0596321921028681196e-201, 2.7662566024758828044e-209, 7.888737428137859356e-217, 1.4164287113774828277e-182, 1.5314086830975746672e-193, 6.4359097391189128027e-193, 1.930230826626369037e-191, 1.3303598523573411062e-180, 1.15109469648236084675e-203]",1.179454608180635e-144,20
quoi qu il arrive dimanche prochain déjà remporté belle victoire personnelle laisserez véritable trace rct,"[4.8060849779852503934e-188, 3.3262068451437409853e-189, 9.701664746251962476e-168, 6.7183116078804687896e-187, 4.0307348990432551905e-200, 1.1341207622233654301e-187, 1.7226148411677876644e-190, 6.771736059683545447e-191, 4.7128179551101338703e-180, 1.1819514789927551164e-174, 6.272527468460480415e-177, 1.045948776825414278e-130, 2.6481340769111547252e-186, 3.8158079837389098236e-202, 1.6945837112733009906e-182]",6.972991845502761e-132,15
merci « good game »,"[8.892865558663486698e-149, 4.300522519292995072e-168, 1.4527980977181275402e-186, 6.4692995684043315543e-178, 9.287581571489541549e-180]",1.7785731117326973e-149,5
js,[1.2974489774025071683e-158],1.2974489774025072e-158,1
