clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
duplicité peut être qualité,"[7.269238249656809466e-95, 7.796004481188997726e-115, 7.310126088162004225e-97, 2.509843948574677393e-98]",1.836212338621751e-95,4
règnes animal végétal exemples subterfuges fauxsemblants multiples,"[3.4050120547474116195e-85, 1.0809176329932287906e-99, 5.652798831436247755e-97, 3.578182007140635607e-98, 2.0718614402626513769e-104, 1.712274293058881998e-97, 3.8092216648279221257e-93]",4.864302989781946e-86,7
monocirrhus polyacanthus poisson damérique sud teintes bigarrées adopte couleurs dune feuille morte mieux approcher proies,"[1.7999389175854793848e-96, 1.3609976999139091814e-109, 5.7339728630783945315e-99, 3.5643384903822668107e-110, 9.1531792609743967706e-54, 1.2819019601824365172e-90, 5.9863715047103952986e-89, 9.5913836026581506206e-95, 9.2762200047546108863e-91, 2.5993137374040376965e-92, 4.8151851397875675247e-104, 7.7720684799212710264e-106, 1.1916508940184400387e-104, 9.861977473004770943e-91, 4.6187388451624934292e-93]",6.102119507316265e-55,15
oiseaux nocturnes famille confondent souches darbres,"[5.244991308075453355e-85, 3.6945988248859058915e-98, 1.4958958111013753118e-104, 1.8953625597618803194e-93, 9.197140214841190381e-89, 2.2807458652808338625e-98]",8.743185068418601e-86,6
papillon viceroi limenitis archippus revêt parure orange veinée noir papillon monarque danaus plexippus dont goût répulsif tient distance prédateurs,"[8.651508332451751639e-82, 1.0152729202914513091e-95, 6.6212537076844788344e-102, 9.639802308634831016e-101, 3.111848483218219961e-98, 1.281395368011368405e-89, 3.6551801323924346552e-84, 1.2768184495163908295e-90, 7.4117142240565116025e-105, 2.101756125924564482e-91, 2.5329869468945858551e-98, 3.6730878469473669617e-100, 8.551325438320100704e-88, 3.588336792865735105e-80, 3.22996343293469917e-106, 1.4571933957110348497e-101, 1.9291260836983768977e-108, 2.6906240406549596264e-97, 2.5479002516060050302e-112]",1.9343249900772853e-81,19
blennie dévoreuse petit poisson carnivore prend livrée dune autre espèce nourrissant parasites labre nettoyeur duper victimes,"[2.0863309287756466124e-86, 2.4301439665502144307e-100, 3.7555721251125430543e-110, 2.5134158025140127589e-103, 2.7560413565877975253e-90, 3.5128776138485420654e-100, 8.8949172697614900925e-86, 1.4065005141605357447e-83, 2.2169135996427716885e-51, 9.9909166298617007925e-105, 1.9878259491384006939e-81, 3.3434457595481346348e-89, 1.2779616779374695976e-93, 7.0559938482666132533e-97, 2.4541435375455317377e-105, 6.155713159036444866e-104]",1.3855709997767323e-52,16
certaines mouches bourdonnent comme abeilles faire battre retraite araignées,"[3.3937070499619443052e-94, 2.695970742947756472e-30, 5.2544101087485749838e-71, 8.1100190255703652416e-85, 9.125539668180881631e-80, 1.5303585182245560623e-85, 5.36926537533998476e-94, 4.0939371163403656203e-109, 2.3169260625529476855e-100]",2.9955230477197294e-31,9
lithops font passer minéraux,"[7.8044451639835447956e-108, 1.2199058223920435476e-92, 1.9847626225206747984e-91, 5.7193828469228458366e-121]",5.266883011899698e-92,4
stratégies adaptatives destinées protéger dun prédateur contraire leurrer proie,"[9.936232489280609312e-116, 1.28604310516528606385e-92, 4.219106210364739916e-91, 7.5101364519156958574e-103, 8.55512987385041923e-90, 2.19906368108132156e-81, 6.126627444719943683e-94, 3.260902788569615719e-86, 9.7341709302860113056e-102]",2.443440332333023e-82,9
biologistes lévolution beaucoup étudié certains travestissements,"[2.2370887026214497193e-96, 1.1610546872646627437e-79, 1.8544439576276896931e-76, 4.5479139695992018878e-116, 7.437127037342683508e-98, 1.1382245805083791249e-96]",3.0926750205249237e-77,6
comme camouflage mimétisme cryptique grâce auquel espèce fond environnement afin être détectée,"[5.458274574124094406e-100, 1.5338579870411053368e-88, 6.9108447226727883893e-97, 4.5742848338449775464e-104, 1.2960526167923290432e-102, 1.1748700455005258376e-99, 2.4633162671462295313e-106, 1.1758283948253707136e-107, 3.1311727431743584898e-108, 4.5446909078552634173e-104, 2.885739911691312148e-113, 6.8819710530212597906e-109]",1.278214994974309e-89,12
comme faculté certains animaux notamment insectes batraciens arborer couleurs voyantes mettre fuite leurs ennemis,"[4.8383131851143534853e-103, 2.1682724259308300374e-80, 1.8193152946196666869e-100, 6.557278007524097921e-77, 6.8095339774269516365e-56, 1.1539443063069959194e-86, 1.9232520414039203068e-102, 2.686444767344413386e-93, 9.3637339944169697725e-87, 4.9521728717202291358e-101, 9.2212798363189933605e-68, 5.970288603034405421e-115, 2.0914887248617607547e-108, 1.9076702150987744284e-101]",4.863952841025838e-57,14
forme particulière mimétisme reste mal connue celle où lanimal cherche échapper vue où grime objet inanimé non comestible tel quune brindille feuille pierre déjection,"[6.605217817309008452e-94, 9.133905241059647077e-108, 3.7644583702665381483e-96, 1.2628483037008093495e-73, 6.2907180954682630534e-100, 6.1520273539537908816e-92, 4.0755808519176241485e-76, 5.3027559619635733578e-101, 8.548350491444605992e-107, 7.197741445215494431e-106, 3.0139397895381493223e-108, 1.8269159403490482685e-108, 4.1108381692889778775e-81, 1.3780809531508762505e-94, 2.9787221719354543e-91, 1.8552453585279114188e-97, 3.2160846414955449e-110, 8.126908718410600906e-101, 7.209403400173083535e-110, 1.1906503558024069555e-103, 9.8118839969945860325e-99, 1.5464834688425703839e-98, 2.1317440458374573414e-100, 8.170674018524715158e-118]",5.278849690254619e-75,24
équipe britannique décrit lédition science janvier expérience donnant penser comportement constitue tactique défense active,"[1.6970520302530833938e-119, 1.2429999256814873539e-114, 2.0051616190094015476e-110, 9.194775822900622116e-113, 6.8885691483514797164e-110, 1.6126225343199050384e-112, 8.1936375913056687765e-92, 9.5575412245325114465e-113, 3.039688182607782159e-103, 5.7319840272321359415e-97, 1.2833857970653750515e-87, 7.046314899176653636e-102, 2.0156176596141882808e-104, 1.0836218606713869138e-109]",9.167626671532099e-89,14
chercheurs utilisé comme cobayes poussins bassecour chenilles papillons deux espèces citronnelle rouillée lunaire selenia dentaria lapparence brindilles brunes noueuses,"[1.4406972039124197522e-87, 2.645818765902924132e-91, 9.640684884335438386e-88, 5.4368436201797588815e-71, 1.1176941361561557804e-98, 9.555400698186554498e-96, 2.2708634108458928483e-98, 4.428832682725240406e-99, 3.6743581316536766942e-82, 2.857009138748507904e-87, 3.688120627403447687e-95, 1.0940945260103827471e-111, 3.4620589859951030386e-114, 6.465130974140852759e-86, 3.2095126753300855298e-104, 5.5562894070030468043e-106, 6.1878922050553968796e-101, 1.6073070603904621196e-108, 7.3592441253762685114e-109]",2.8614966422192154e-72,19
tromper prédateurs premier temps certains poussins mis présence rameaux daubépine lesquels fait bec,"[4.4685149543740972854e-102, 1.9222805924950545138e-114, 2.1446840359303035993e-107, 2.1915075978822259724e-96, 1.7743357861683395513e-114, 3.6044961190158344248e-112, 2.2100883968562406841e-116, 4.100504239210977651e-111, 1.7476310767585861003e-103, 8.900571195497587268e-105, 4.3137194570223933872e-110, 6.03796586528317478e-98, 1.5248925200059938531e-108]",1.7322245451820848e-97,13
puis chenilles servies tous volatiles,"[2.791167733113027156e-69, 4.0553684000430780595e-76, 4.1025815385999745809e-94, 5.2953252049004988014e-109, 1.4260252936197068548e-116]",5.582336277299734e-70,5
résultat poussins précédemment goûté branchages attendu plus longtemps autres avant larves sen saisis davantage précaution,"[3.3656934947998320888e-115, 2.4504613779639298218e-110, 8.6520787575683897325e-78, 1.2310241496190179311e-95, 2.74022350133050124e-104, 2.6708484806729646468e-87, 9.58919502913443958e-100, 1.3749047621486359418e-84, 1.8797814616157870936e-66, 1.2750551358883039504e-82, 1.8320392982398062996e-106, 2.2346261015802667806e-86, 7.046454213583036551e-69, 1.6756922185943311279e-99, 1.4092269173861020208e-104]",1.2578852772253483e-67,15
cette leçon choses sans doute ravi darwin luimême passionné vers terre prouve mimétisme sans camouflage chenilles posées sol nu parfaitement visibles parvient bel bien tromper prédateurs concluent auteurs,"[5.2475361622953936904e-91, 2.923698843545755242e-96, 5.106991489431572534e-89, 8.625979000354422173e-90, 1.1825865464291002626e-87, 2.2377827877316747328e-95, 1.0, 8.728491430636348337e-76, 8.8781990383034447314e-83, 1.6116414312760279694e-83, 9.5266673968108215124e-95, 4.1826625111856134463e-101, 1.10627237437664609274e-107, 3.9110628117325327047e-88, 8.886744557605722687e-89, 6.6169253441100279333e-74, 4.8700568537221395182e-88, 7.119198000866191433e-96, 1.0479429270882638112e-100, 1.44715484572379313835e-86, 6.8187429833120310128e-96, 7.2351546634367220114e-103, 1.3043165633964119169e-102, 6.950890925043249647e-106, 1.3790985027984666635e-110, 2.4287813762799337413e-105, 3.3366920491050953606e-89, 6.978439110581336002e-91]",0.03571428571428571,28
quil sagit dun système défensif part entière,"[1.6176717495179378608e-88, 1.2115263793270870627e-94, 2.082480763374199815e-91, 5.1570941784898590264e-88, 4.6733835630438442108e-45, 1.6560277603335648356e-101, 5.4759231808148709836e-103]",6.676262232919777e-46,7
cette étude apporte nouvel éclairage mécanismes évolutifs loeuvre couple,"[9.568255494683069939e-94, 8.97038203648904873e-103, 4.4877103214598687828e-107, 5.7072226088511948213e-101, 7.47363966556225716e-89, 8.666896993196395379e-53, 3.759518299910658079e-98, 8.153950698096267785e-77, 5.512404274944197577e-85]",9.629885547995994e-54,9
biologistes mettaient jusquici laccent développement facultés sensorielles permettant mangeur repérer mangé sous déguisement,"[4.5001608203549349214e-84, 2.140067372306201773e-30, 1.2173994164334743444e-99, 1.2353114797057373236e-93, 3.373379276031874467e-96, 1.9965396102426593787e-83, 1.7526135314633102895e-106, 1.4964700961199908941e-86, 4.038923556991601842e-97, 6.762234910215607619e-94, 4.0065926531910141705e-99, 4.80091933682380879e-80, 3.18490372002878835e-93]",1.6462056710047706e-31,13
lexpérience relatée oisillons mordillé bois jeter ensuite pitance aspect suggère également jeu capacités cognitives,"[1.0836750832287353653e-109, 6.566078189494286618e-98, 2.5707995851517249428e-93, 2.655121794798228744e-96, 1.1695103525134639628e-95, 2.6040034050796092397e-93, 3.7930485242061042853e-110, 8.332467382416478249e-114, 6.6389309948467404485e-108, 7.9570137844207551355e-104, 4.4447640326966761956e-98, 2.9819395452796925035e-95, 1.1448761457214991695e-104, 1.0361234272536926488e-109]",3.727916228226651e-94,14
déjouer pièges mimétisme pourrait constituer facteur sélection jusqualors négligé,"[1.5875635779233287065e-96, 7.252752051013016667e-107, 1.7018517108467503613e-102, 1.0955743490979271659e-76, 4.297430266357429751e-109, 1.09968421208040815225e-113, 2.862557367394119995e-107, 9.599578400451163807e-76, 1.3976405885565046624e-96]",1.1883503055054546e-76,9
al,[8.674687053038157408e-92],8.674687053038157e-92,1
in science janvier pierre hir,"[6.0526606969533948935e-91, 1.08792943562305707094e-82, 7.404687526182730812e-108, 1.4110541715716666633e-103, 2.1421504122713583746e-93]",2.1758588833942784e-83,5
