clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
limmeuble jouxtant siège social winnipeg travaille transformer lintérieur dune ancienne banque deuxième studio télévision ultramoderne,"[1.2032836627153316215e-62, 5.53765585057027925e-57, 2.3674547185289008514e-60, 1.2409384393399898352e-62, 6.6887951662211842116e-52, 1.8975816738756121009e-56, 7.0490485580782341905e-63, 8.588542596233421955e-50, 3.0956910003561860334e-57, 4.147664745916167727e-58, 3.2169347359843947646e-57, 4.2339581077496195028e-63, 2.081138000415206103e-61, 8.248647757503027707e-58, 5.8184226955815464616e-60]",5.770289170207708e-51,15
cest là retransmises février émissions consacrées jeux olympiques dhiver lieu vancouver whistler côte ouest canada,"[5.34715967594444743e-63, 9.677629668756680284e-55, 3.243535734508967578e-10, 4.4357094978733841417e-64, 2.0528133710961073362e-55, 2.7548876204734434089e-46, 5.5583638920855154632e-62, 4.4147782138016364947e-62, 2.206971273882888238e-62, 1.00993439580112411204e-57, 6.207317871407760344e-29, 5.1655918745647250796e-31, 1.4753701773979707583e-57, 1.4173659538243281439e-29, 1.7758710007657325492e-51]",2.1623571563393118e-11,15
aptn effet lun diffuseurs officiels sein dun consortium douze chaînes canadiennes oeuvrera manière grande partie langues autochtones,"[1.719618059945176529e-63, 2.861625045660801486e-60, 4.371406647493543459e-57, 1.3320088269041373795e-63, 8.8946729819126187635e-56, 2.852168153007844316e-45, 7.2239392919457855583e-63, 1.9024946530789700273e-61, 4.418135067070228557e-62, 5.0994697378850472676e-59, 1.2221059297896012829e-53, 1.2928114263706760584e-59, 3.8762975955018484643e-64, 2.6949004586694206652e-55, 1.2478061638718839821e-58, 6.913828649181269638e-62, 6.244636449459849857e-53]",1.6777460164930988e-46,17
cette désignation lune plus grandes réussites réjouit jean larose directeur général cette chaîne nommée premier radiodiffuseur autochtone officiel jeux dhiver,"[1.8254172279546253297e-58, 4.3878904086721063805e-63, 2.3949634679324917869e-53, 2.8372552114184208193e-60, 1.568734365012252266e-61, 2.9824731467925373727e-46, 7.9822052218698975165e-59, 1.7065841955137166162e-62, 6.3021240021778771247e-55, 7.358953478071452392e-61, 2.7924632743362686378e-60, 5.1774758918275504947e-58, 6.3912627501526466294e-58, 3.5617878408483342792e-62, 7.984040537509968295e-57, 5.408882857795307629e-61, 2.7965941324729776652e-60, 6.755814892536750205e-63, 2.9721323276792102285e-59, 5.243566388339382489e-62]",1.491236696342719e-47,20
réseau proposera couverture direct haute définition compétitions cérémonies ainsi reportages émissions dinformation olympique,"[1.9457542689756273075e-50, 2.7995157320596685753e-19, 3.5617878408483342792e-62, 7.984040537509968295e-57, 5.408882857795307629e-61, 3.8873823515266932996e-62, 5.7883708959363240046e-56, 6.1696495297456588685e-60, 1.568734365012252266e-61, 2.9824731467925373727e-46, 7.9822052218698975165e-59, 9.56182958978404232e-60, 8.12319390999950941e-53]",2.153473640045899e-20,13
cette programmation spéciale quatorze seize heures jour structurée trois blocs linguistiques trois quatre heures anglais autant français seule couverture vraiment nationale français autant,"[4.7664997463679373408e-26, 1.30707420262714552585e-61, 1.6411505238197206835e-60, 4.3840498451839150754e-61, 8.146877519428541427e-61, 5.5491644372845569874e-59, 6.7990069379876150054e-47, 1.7006625149751279275e-63, 4.0702003021115796631e-60, 9.4331466743251293386e-61, 1.2409384393399898352e-62, 6.6887951662211842116e-52, 1.8975816738756121009e-56, 1.5308844220603978525e-59, 6.7793058933506610533e-56, 7.439198453749644289e-55, 7.357732439565996905e-61, 6.485711150160676678e-52, 5.532332931992751016e-54, 8.146877519428541427e-61, 5.5491644372845569874e-59, 6.7990069379876150054e-47, 1.30707420262714552585e-61]",2.072391194073016e-27,23
huit langues autochtones particulièrement heures grande écoute,"[1.6411505238197206835e-60, 4.3840498451839150754e-61, 6.188280230707787146e-63, 1.5062835130828506609e-50, 5.2907260108540125297e-61, 1.2286770105256578092e-55, 2.6950344496651571127e-51]",2.5368560644013618e-51,7
navions journalistes sportifs innus cris dénés explique,"[0.00039252594250853103034, 8.886354285330997169e-60, 6.614155959331110681e-57, 9.380359794220814723e-52, 9.114768031923214763e-63, 3.4010729524747467442e-62, 1.6270028347137394024e-61]",5.6075134644075865e-05,7
larose,[1.568734365012252266e-61],1.5687343650122523e-61,1
donc mis profit six derniers mois former équipe dune trentaine différentes langues,"[2.9824731467925373727e-46, 7.9822052218698975165e-59, 7.961866666493670618e-64, 6.706917753815610831e-62, 3.932012948321431234e-62, 2.019328218562129728e-62, 3.5427537102760958782e-50, 3.9494605197487469463e-60, 1.0147438146131429344e-62, 1.0890649522168185402e-60, 7.577476850213083861e-61, 4.7255690494060645543e-61]",2.485689518470356e-47,12
laide journalistes sportifs plupart retraités radio canada appris subtilités chaque sport terminologie particulière associée,"[7.6208091537078373704e-38, 8.399420149289540073e-35, 6.9027130245900626045e-64, 2.7289598305800935865e-60, 0.49960556107106196425, 3.5965030482980700585e-61, 5.8048633700072451942e-59, 4.9427389605247660246e-54, 9.589409336469217483e-64, 3.918179982691087978e-60, 6.345000730321446272e-59, 3.1299061965628644467e-62, 1.1214820912063180453e-62, 2.6477189272422183426e-63]",0.035686111505075856,14
lobjectif quils puissent commenter compétitions plusieurs langues autochtones façon professionnelle autant colorée première fois inuits cris pourront ainsi suivre événement cette envergure langue hic bien termes sportifs comme luge skeleton nexistent inuktitut tlingit,"[5.9861655027139261494e-61, 2.4891682435552013972e-61, 2.7434093348924044408e-62, 1.8620678232320764857e-53, 4.7508567752971908274e-39, 9.038467822601723833e-52, 9.201008335615946308e-61, 2.0435447365710421181e-59, 2.0854115984868683429e-60, 1.0534399835594222845e-62, 4.2807968308532520694e-61, 1.2399465122307281818e-62, 4.5593295195344816724e-62, 6.7286332333648826656e-60, 4.7773983221688698678e-61, 2.4236919778419374183e-61, 4.1648442517149577996e-52, 9.530788985275071269e-61, 2.7878317252086623e-63, 1.0526020470896530678e-59, 2.1460982670707907663e-57, 2.7214583201078054225e-63, 4.5447270595816050455e-54, 1.3896970335858103329e-61, 2.5465900485368330625e-62, 7.3939516826740022176e-59, 1.1272258954280049508e-56, 1.0087678134304833233e-62, 6.310151483382172529e-61, 4.738557166370879211e-60, 1.9065604978195936278e-60, 1.6401374718842977927e-59, 5.683940461113274747e-57]",1.4396535682722831e-40,33
aptn a trouvé solution chaque limite linguistique rencontrée léquipe sadresse communauté visée demander exemple laide aînés,"[7.53342627532962507e-62, 4.4312381057944725086e-56, 4.5365356046542195698e-59, 4.0294022580968783542e-61, 1.0724500649392769365e-59, 2.2534953145094537518e-55, 1.2286770105256578092e-55, 2.6950344496651571127e-51, 0.00039252594250853103034, 3.528925211052216905e-63, 9.959342220562018329e-59, 4.9354022506867354613e-57, 4.7255690494060645543e-61, 7.6208091537078373704e-38, 8.399420149289540073e-35, 6.9027130245900626045e-64]",2.453287140678319e-05,16
