comment_sentence
"J'ai beau chercher, je n'ai trouvé aucune référence à Obama dans l'article. En quoi est-il responsable, et en quoi aurait-il pu changer l'issue de ce procès ? Ca reste scandaleux que les poursuites soient abandonnées, mais ne faut-il pas toujours se méfier de l'évidence en politique ?"
"Eau noire, eaux troubles, Balck water est l'une des sociétés les pires, leur réputation de tueur est affreuse. Faut-il rappeler que ces braves gens ont assurés à une époque la garde rapprochée de Karzai, je ne sais pas si, c'est toujours le cas."
Une savoureuse interprétation du juge : l'accusation a violé l'immunité des accusés... en recueillant des témoignages les accusant.
Je crois que cela se passe de commentaires :-)
"Obama n'est qu'un Bush qui passe mieux par sa couleur et ses origines. L'ubris, le mépris, la supériorité et l'ignorance des américains (et des occidentaux) restent les mêmes. Dire que le chef de cette puissance militaire qui tue chaque jour des centaines d'hommes, de femmes et d'enfants a obtenu un prix de la paix, c'est dire toute l'hypocrisie qui régie ce monde de m***. Bonne année à tous!"
"Même prononcée par un tribunal, après ce genre de décision, quelle crédibilité les États-Unis ont à commenter les procès politiques en Chine, au Vietnam et ailleurs ?"
Qu'en pense le prix nobel Obama?
"Belle impunité pour les malades de la gâchette, encore une fois bien protégés par le gouvernement américain. Ce procès est une belle mascarade, à un moment où un attentat Canada Dry pousse les américains vers une guerre avec le Yémen."
"encore les ravages de l'ideologie liberale : ""c'est prive donc c'est mieux"". Forcement !"
Pas de TPI ? Normal puisque les USA ne reconnaissent pas ce tribunal.
"Les USA ""négocient"" des accords d'immunité pour les soldats US avec les pays concernés."
"La honte est sans limite, hélas les conséquences de tout cela retombent sur l'entièreté des citoyens du monde occidental."
Les mercenaires de Blackwater ont encore de beaux jours devant eux !
Société privé de sécurité! pfff!!
De tout temps ça s'appelle des mercenaires!
"En fait de ""sociétés privées"", il s'agit purement et simplement de mercenaires, qui ne sont rien d'autre que des civils (le statut de combattant leur est refusé par la convention de Genève) et qui devraient être poursuivis devant les tribunaux. http://fr.wikipedia.org/wiki/Proc%C3%A8s_de_Luanda"
"Les sociétés comme Blackwater bénéficiaient effectivement en Irak de la même priorité de juridiction que les troupes américaines. C'est ce qui explique qu'ils aient été jugés aux Etats-Unis. Quant à la CPI, elle n'est pas compétente parce que les Etats-Unis ne sont pas signataires du statut de Rome qui gouverne sa compétence. Il n'y a donc ni vice de forme, ni défaut de la justice internationale. Les relations internationales, malgré tout, restent empreintes de la loi du plus fort."
"Une décision scandaleuse, fondée sur un vice de forme du procès. Tant qu'elle se bornera à protéger ses ressortissants au lieu d'administrer la justice, la Justice américaine ne sera pas crédible et ternira l'image US en Irak."
"Tiens c'est curieux: pas de reportages, peu de bruits autour de cette affaire, pas de CPI ou de TPI. La faillite des sociétés privées plus préoccupées de profits à court terme que d'éthique et de respect de la vie d'autrui. Fermez le ban!"
"Ils auraient dû être jugés et condamnés en Irak, tiens,"
pour leur servir de leçon
Les républicains peuvent dormir tranquilles : les États-Unis restent les États-Unis.
Pourquoi sont-ils sous immunité gouvernementale ? C'est une blague ce truc dites-moi ?
"Pas plus que les afghans, les irakiens n'arrivent pas à se mettre dans la tête que cela est pour leur bien, uniquement pour leur bien. Les soldats se tuent à leur dire. On devrait plutôt écrire ""les"" tuent ... Combien de siècles faudra-t-il pour effacer la haine anti-occidentale qui s'est ancrée dans cette région ?"
