comment_sentence
"Pourquoi stigmatiser les ""quartiers"". Vu que les statistiques ne sont pas rendues publiques localement, qu'est-ce qui nous permet de dire que le ""brulé de voiture"" est une exclusivité de la banlieue, a l'instar du trafic de drogue d'ailleurs ?"
Mes impots servent à payer 10000 policiers le 31 pour qu'ils regardent des voitures bruler...
"A lire les chiffres, le vrai bilan de cette nuit de la saint Sylvestre c'est qu'avec plus de moyens, Hortefeux n'a pas fait mieux que ses prédécesseurs. Les forces de l'ordre ont été déployées géographiquement plus en fonction du plan de com du ministre (tout pour les champs) qu'en fonction des risques potentiels. On notera au passage qu'avec 60% de personnes en moins sur les Champs, les Franciliens ont facilité la tâche au ministre.Quant au reste de la France : le braséro habituel dès minuit."
"La France est le champion de cette dérive « festive » qui se banalise, surtout dans les « quartiers », contredisant les affirmations optimistes (E.Todd) sur la meilleure intégration de certains jeunes qui s’installent dans la marginalité sociale. Notre état de droit est mal en point, à l’image de notre pays en déclin inéluctable. NS, malgré ses engagements a totalement échoué sur la sécurité et le vivre ensemble. L’opposition réussirait-elle mieux dans ce contexte calamiteux? A voir bientôt ?"
"Ajoutez à cela le coût du déploiement policier,le culot et l'incompétence de nos dirigeants."
Quel gâchis!
Continuez mais ne vous étonnez pas
d'être un jour chassés sous les huées.
"""Dans la métropole lilloise, la"
prévention semble avoir porté ses
fruits. Six interpellations de début
"de nuit"""
C'est ça la prévention à la Sarkozy ?
Arrêter avant que le délit ne soit
commis ?
Quelle chance de penser que dans 113 ans il n'y aura plus de voitures brûkées pendant la nuit de la Saint-Sylvestre !
"878 au Nouvel An 2008, 1.147 en 2009, 1137 en 2010, comme ""réveillon dans le calme"" et ""week end ordinaire"" il y a mieux. Ou alors serait-ce que, pour le Monde comme pour Sarko, la France se réduit aux Champs Élysées et aux beaux quartiers, tant pis pour ceux qui habitent les banlieues ? Le Monde n'est pas obligé de reprendre à son compte la propagande d'un ministère de l'Intérieur en mal de résultats."
"10 de moins que l""an passé selon les premières stimations ! Si Jean sarkozy était intervenu, il y en aurait eu 11 de moins."
"Cet article ressemble à un exercice scolaire. Quant au nombre de véhicules il serait bon de rappeler que seul le ministère de l'intérieur possède les données recensées, les préfets ayant reçu l'ordre de ne pas communiquer sur le sujet (sauf, apparemment, quand les chiffres sont à la baisse)."
Observation de Simplet : «Les maitres mots de nos
"sociétés ""modernes"" sont : sécurité et"
divertissement.» J. Attali fait la même remarque. Une
preuve: c'est dans les industries du divertissement et
de l'assurance qu'on est le mieux payé: stars du foot
"et du cinéma, banquiers et traders. J.A. lie le besoin"
de sécurité à l'accroissement continu de la liberté
depuis l'Antiquité – la liberté de l'un est l'insécurité de
l'autre – et le besoin de divertissement à l'ennui d'une
société trop sécurisée.
"Entre un titre aussitôt démentit par les chiffres et un ministre faisant de la gesticulation médiatique pour cacher son impuissance, je n'arrive pas à déterminer qui des journalistes du monde ou du ministre de l'intérieur est le plus ridicule dans cette affaire."
Comment Le Monde peut relayé ce mensonge gouvernemental. Cette année a été aussi mouvementée que les autres!
"Avec cette amélioration et grâce à 10000 agents de l'""ordre"" dans 120 ans il n'y aura plus de voitures brûlées! Fort heureusement la nature faisant bien les choses, les gisements pétroliers seront épuisés bien avant...plus de pétrole, donc carburants et plastiques rares et chers, coûts des transports exorbitants, ... brûler les objets deviendra alors très cher! Heureux descendants qui remercieront la mondialisation de n'avoir rien prévu pour l'avenir privilégiant le profit immédiat..."
"+10000 Dieterdieter, c'est exactement cela. C'est aussi en substance ce que pensent de nombreux lecteurs/réacteurs du Monde.fr"
"Il ne reste que les journalistes parisiens pour trouver cela normal. Les politiques en charge de la gestion de cette tôle qu'est devenue la France se jugent eux-même, alors il ne risquent pas d'être sévères sur leur bilan."
"Vive la Chine, en effet, pour un tas de raisons. L'avenir leur appartient. Je l'ai vu. J'en reviens."
"Sic transit gloria mundi, comme on dit."
"Longtemps, j'ai cru que les politiciens étaient machiavéliques. Progressivement, je suis arrivé à la conclusion qu'ils sont essentiellement incompétents, avec pour seule viatiques leur avidité et leur réélection."
Pauvre France.
